PROP_NAME,AGE,PROP_HEADING,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,CITY,LATITUDE,LONGITUDE,url
Vista Luxuria,,"2 BHK Flat for sale in Hadapsar, Pune",58.0 L,"Laxmi Colony, Hadapsar,Pune",926,6260,"Vista Luxuria 
A 1001, Pune Solapur Road, Manjari Budruk, Hadapsar, Pune, 412307. 

1 covered car parking included. 
Society Features :
Amenities :Lift, lift power backup, Garden, Children Play area, Senior Citizen Sitting Area, Gymnasium, walking track, community hall. 
**Swimming  to be built in future. 
Total number of Buildings :3. 
Total number of floors in each building :11. 
Number of flats in each floor :3. 
Future Buildings :3 more. 
Note :**vehiclea can't enter children play area. 
Flat for Sell : A1001. 
About the flat: Garden and Amenity facing 2BHK with one main balcony and one dr...",2.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5XKuF2kHCEDX4hbLtLhV6ETkyjvZNmck23N3EgF9jeaVt7ZKga9lRXYo&s
 Prasanna Uday Apartment,,"1 BHK Flat for sale in Chinchwad, Pune",50.0 L,"MIDC, Chinchwad,Pune",600,8330,"1 BHK Apartment for sale in Chinchwad, Pune. This 1 BHK unit is available in Chinchwad and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Chinchwad. It is on floor 4. The total number of floors is 5. The price of this Apartment is Rs 50.0 L. The built-up area is 600 Square feet. There are 1 bedroom and 0 bathroom. This property is at a walking distance from Aditya Birla Memorial Hospital, Kamat Hospital, and ESIC Hospital. The city's best schools such as C...",1.0,Pune,18.6298,73.7997,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnROB3ZtRtJm_4XVzKMFoLov6SBm0cqx785Q&s
"St Patricks,Vetal Nagar, Hadapsar,Pune",,"3 BHK Flat for sale in Hadapsar, Pune",82.0 L,"St Patricks,Vetal Nagar, Hadapsar,Pune",1581,5190,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Pune's top location, Hadapsar. It is situated on floor 2. The total number of floors in this Apartment is 4. The property price of this unit is Rs 82.0 L. Monthly maintenance costs Rs 0. The built-up area is 1581 Square feet. It is an ideal location for young families with kids, as this property is close to The Lexicon School, Sadhana Vidyalay & Junior College, and Wonder World English Medium School. Healthcare facility is also close at ha...",3.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4i9b-AcRZdNA6CVJ1RjEmGLEW8uyD4QSDAUqXfeqYoz3p5jWy4pdTl-I&s
"ARV New Town,Bellagio, Undri,Pune",,"1 BHK Flat for sale in Undri, Pune",33.0 L,"ARV New Town,Bellagio, Undri,Pune",560,5890,"1 BHK Apartment for sale in Undri, Pune. This 1 BHK unit is available in Undri and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Undri. It is on floor 9. The total number of floors is 11. The price of this Apartment is Rs 33.0 L. Residents in this project also pay monthly maintenance charges of Rs 0. The built-up area is 560 Square feet. This property is at a walking distance from PBMA's H. V. Desai Eye Hospital, Dr. Masal hospital, and Patanjali Chikitsa...",1.0,Pune,18.4467,73.9135,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAhg-W0IxHITmdC2xzhMp6-Ra3Jrcy8ALluQ&s
"Vetal Nagar, Hadapsar,Pune",,"3.5 BHK Flat for sale in Hadapsar, Pune",2.0 Cr,"Vetal Nagar, Hadapsar,Pune",2350,8510,"One of the finest property in Hadapsar is now available for sale. This is a 3.5 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 11 storeyed building. The price of this Apartment is Rs 2.0 Cr. Other charges when you move into this property include maintenance, which is Rs 0. This Apartment is spacious with a built-up area of 2350 Square feet. This property ensures you are a quick distance away from the city's best schools such as The Lexicon School, Sadhana Vidyalay & Junior College, and Wonder World English Medium School. It is also close to good and repute...",5.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmnANnncOBGJj9-VH5E6utNFsFLjkyr7cvQg&s
Nirman Brookefield Willows Apartment,,"2 BHK Flat for sale in Pisoli, Pune",48.0 L,"Pisoli, Pune",900,5330,"2 BHK Apartment for sale in Pune. This property is in Pisoli, which is a coveted investment location. This tastefully designed 2 BHK unit is among Pune's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Pune is on floor 3. The total number of floors in this Apartment is 12. The price of the Apartment is Rs 48.0 L. Monthly maintenance charges come to Rs 2000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 900 Square feet. The carpet ...",2.0,Pune,18.4547,73.9016,https://images.unsplash.com/photo-1554995207-c18c203602cb?w=1600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTl8fGhvdXNlfGVufDB8fDB8fHww
"G Corp ,Vetal Nagar, Hadapsar,Pune",,"2 BHK Flat for sale in Hadapsar, Pune",45.0 L,"G Corp ,Vetal Nagar, Hadapsar,Pune",1000,4500,"Looking for a good 2 BHK Apartment in Hadapsar, Pune? This property is in one of Pune's most popular locations. This is a no brokerage property. The property is on floor 7. Total number of floors is 7. Maintenance charges of this property is Rs 0. This Apartment is available for Rs 45.0 L. This modern unit has a built-up area of 1000 Square feet. It is very close to some of city's best hospitals, such as, NOBLE HOSPITAL HADAPSAR, Smt. Kashibai Navale Medical College and General Hospital, and Nande Hospital. Established schools, such as The Lexicon School, Sadhana Vidyalay & Junior College, and...",2.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAhg-W0IxHITmdC2xzhMp6-Ra3Jrcy8ALluQ&s
Arihant Green City,,"2 BHK Flat for sale in Hadapsar, Pune",60.0 L,"Satav Nagar, Hadapsar,Pune",860,6980,"It's a well gated society will swimming pool, Guest Rooms.  More About This Property 2 BHK Apartment for sale in Hadapsar, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Hadapsar which is a promising investment destination in Pune. This might be your chance to grab the best 2 BHK property for sale in Hadapsar. The property is on floor 11 and the total number of floors is 11. This 2 BHK Apartment is available at a reasonable price of Rs 60.0 L. Residents also need to pay maintenance charges of Rs 1500. It is a very s...",2.0,Pune,18.5089,73.924,https://images.unsplash.com/photo-1722421492323-eaf9c401befe?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTM5fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
"Unnatinagar, Hadapsar,Pune",,"2 BHK Flat for sale in Hadapsar, Pune",65.0 L,"Unnatinagar, Hadapsar,Pune",700,9290,"2 BHK Apartment for sale in Hadapsar, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Hadapsar which is a promising investment destination in Pune. This might be your chance to grab the best 2 BHK property for sale in Hadapsar. The property is on floor 3 and the total number of floors is 7. This 2 BHK Apartment is available at a reasonable price of Rs 65.0 L. Residents also need to pay maintenance charges of Rs 1600. The built-up area is 700 Square feet. This property has provision for 2 bathroom. It enjoys a strateg...",2.0,Pune,18.5089,73.924,https://plus.unsplash.com/premium_photo-1684348962314-64fa628992f0?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MzN8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
Naseeba Prime Villas,,"3 BHK Villa for sale in Undri, Pune",1.2 Cr,"Shree Siddhivinayak Meera, Undri,Pune",3000,4000,"3 BHK Villa for sale in Pune. This property is in Undri, which is a coveted investment location. This tastefully designed 3 BHK unit is among Pune's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. The price of the Villa is Rs 1.2 Cr. Monthly maintenance charges come to Rs 3000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 3000 Square feet. The carpet area is 2500 Square feet. It has 4 bathroom and 3 bedrooms. Some of the very well-known and reput...",3.0,Pune,18.4467,73.9135,https://images.pexels.com/photos/323780/pexels-photo-323780.jpeg?auto=compress&cs=tinysrgb&w=1200
