city,bhk,area,price
bangalore,2.0,750,5500000.0
bangalore,3.0,1910,21000000.0
bangalore,2.0,1225,4900000.0
bangalore,4.0,1500,5700000.0
bangalore,2.0,814,4500000.0
bangalore,3.0,1800,17500000.0
bangalore,2.0,800,8280000.0
bangalore,3.0,1639,9015000.0
bangalore,3.0,1800,9900000.0
bangalore,2.0,1350,17000000.0
bangalore,2.0,1100,6200000.0
bangalore,2.0,1195,5200000.0
bangalore,2.0,1000,4850000.0
bangalore,2.0,883,4300000.0
bangalore,2.0,1096,4500000.0
bangalore,1.0,1096,5312000.0
bangalore,2.0,1220,12100000.0
bangalore,2.0,883,4250000.0
bangalore,2.0,923,5600000.0
bangalore,2.0,960,4200000.0
bangalore,3.0,1744,8500000.0
bangalore,3.0,1711,9000000.0
bangalore,2.0,966,5600000.0
bangalore,3.0,1060,7820000.0
bangalore,2.0,1070,5800000.0
bangalore,3.0,1082,5100000.0
bangalore,2.0,1290,9500000.0
bangalore,2.0,1216,12500000.0
bangalore,2.0,1400,9200000.0
bangalore,3.0,1820,18000000.0
bangalore,2.0,1100,6900000.0
bangalore,3.0,1481,8900000.0
bangalore,3.0,1705,10900000.0
bangalore,3.0,1118,7500000.0
bangalore,2.0,1086,8700000.0
bangalore,2.0,1393,9200000.0
bangalore,3.0,2210,40000000.0
bangalore,2.0,1348,9400000.0
bangalore,3.0,1765,15500000.0
bangalore,2.0,1124,6000000.0
bangalore,2.0,1165,8800000.0
bangalore,5.0,1880,16000000.0
bangalore,3.0,1308,11000000.0
bangalore,2.0,1146,8500000.0
bangalore,2.0,975,4000000.0
bangalore,2.0,2500,8079000.000000001
bangalore,3.0,1918,12500000.0
bangalore,2.0,883,4500000.0
bangalore,2.0,1086,8600000.0
bangalore,4.0,2900,25000000.0
bangalore,3.0,1755,17000000.0
bangalore,3.0,1701,15000000.0
bangalore,2.0,1210,6400000.0
bangalore,1.0,607,5000000.0
bangalore,3.0,1507,18000000.0
bangalore,2.0,1086,8500000.0
bangalore,1.0,607,5900000.0
bangalore,1.0,660,7200000.0
bangalore,2.0,1103,7500000.0
bangalore,4.0,3560,37500000.0
bangalore,2.0,880,6000000.0
bangalore,2.0,1080,4500000.0
bangalore,3.0,1297,9500000.0
bangalore,3.0,1603,11700000.0
bangalore,3.0,1082,6200000.0
bangalore,5.0,4500,72000000.0
bangalore,3.0,1445,9500000.0
bangalore,3.0,1425,13500000.0
bangalore,2.0,835,3354999.9999999995
bangalore,2.0,1285,11000000.0
bangalore,2.0,880,7500000.0
bangalore,2.0,1085,8600000.0
bangalore,2.0,850,7500000.0
bangalore,3.0,1390,6900000.0
bangalore,3.0,3125,39500000.0
bangalore,2.0,1267,8600000.0
bangalore,2.0,1305,7300000.0
bangalore,3.0,1200,8800000.0
bangalore,1.0,595,6000000.0
bangalore,2.0,1080,4900000.0
bangalore,3.0,1735,11500000.0
bangalore,2.0,900,6500000.0
bangalore,3.0,1554,10500000.0
bangalore,2.0,1200,6000000.0
bangalore,3.0,1241,8000000.0
bangalore,2.0,1109,6800000.0
bangalore,2.0,1157,8500000.0
bangalore,1.0,700,6000000.0
bangalore,5.0,1405,19800000.0
bangalore,3.0,1700,10300000.0
bangalore,2.0,1202,6500000.0
bangalore,2.0,1270,5500000.0
bangalore,2.0,950,5800000.0
bangalore,2.0,920,4000000.0
bangalore,2.0,1380,12000000.0
bangalore,3.0,1200,18000000.0
bangalore,2.0,924,6000000.0
bangalore,2.0,1080,7200000.0
bangalore,2.0,1100,7500000.0
bangalore,3.0,1996,15500000.0
bangalore,2.0,830,3400000.0
bangalore,2.0,1000,5500000.0
bangalore,2.0,1000,6700000.0
bangalore,2.0,1000,6700000.0
bangalore,2.0,1164,6000000.0
bangalore,2.0,870,3776000.0
bangalore,2.0,950,6300000.0
bangalore,3.0,1495,5850000.0
bangalore,2.0,1256,9000000.0
bangalore,3.0,1745,8900000.0
bangalore,3.0,1527,12000000.0
bangalore,2.0,1146,8500000.0
bangalore,2.0,1165,4600000.0
bangalore,3.0,1625,7500000.0
bangalore,3.0,1630,17000000.0
bangalore,4.0,4895,40000000.0
bangalore,3.0,2700,28700000.0
bangalore,2.0,1136,5850000.0
bangalore,3.0,1450,13500000.0
bangalore,3.0,1450,13000000.0
bangalore,2.0,890,3500000.0
bangalore,4.0,2200,21000000.0
bangalore,2.0,1102,10000000.0
bangalore,2.0,1628,7500000.0
bangalore,2.0,800,3500000.0
bangalore,2.0,820,3300000.0
bangalore,2.0,1170,7100000.0
bangalore,2.0,950,6000000.0
bangalore,2.0,1219,8300000.0
bangalore,2.0,1028,6998999.999999999
bangalore,3.0,1621,8000000.0
bangalore,2.0,1229,7700000.0
bangalore,3.0,1440,9200000.0
bangalore,2.0,1100,4000000.0
bangalore,2.0,1279,8700000.0
bangalore,3.0,1200,10000000.0
bangalore,2.0,827,3600000.0
bangalore,2.0,1015,5900000.0
bangalore,2.0,1280,5800000.0
bangalore,4.0,2125,30000000.0
bangalore,2.0,1229,7700000.0
bangalore,2.0,1160,5000000.0
bangalore,2.0,1135,6300000.0
bangalore,2.0,1160,5200000.0
bangalore,3.0,1700,9500000.0
bangalore,2.0,1135,6300000.0
bangalore,3.0,1650,12000000.0
bangalore,2.0,924,6300000.0
bangalore,2.0,1200,9000000.0
bangalore,2.0,725,3600000.0
bangalore,3.0,1322,7000000.0
bangalore,2.0,926,6000000.0
bangalore,2.0,1140,6200000.0
bangalore,2.0,1180,4500000.0
bangalore,2.0,1340,7700000.0
bangalore,3.0,1575,15000000.0
bangalore,3.0,1550,8500000.0
bangalore,3.0,1575,15000000.0
bangalore,2.0,871,3800000.0
bangalore,2.0,1340,8000000.0
bangalore,3.0,1665,11000000.0
bangalore,2.0,1285,15000000.0
bangalore,3.0,1422,9500000.0
bangalore,3.0,2345,13700000.000000002
bangalore,2.0,1084,6000000.0
bangalore,2.0,1102,8200000.0
bangalore,2.0,1160,8000000.0
bangalore,3.0,1900,14000000.0
bangalore,2.0,1400,13000000.0
bangalore,2.0,1650,6500000.0
bangalore,3.0,1621,7500000.0
bangalore,3.0,1730,9000000.0
bangalore,1.0,500,2500000.0
bangalore,2.0,1740,11000000.0
bangalore,2.0,1100,8200000.0
bangalore,3.0,1490,11000000.0
bangalore,2.0,1044,7000000.0
bangalore,3.0,1500,13000000.0
bangalore,3.0,1411,8500000.0
bangalore,2.0,1272,9000000.0
bangalore,3.0,1475,7000000.0
bangalore,3.0,1854,12500000.0
bangalore,5.0,1200,13000000.0
bangalore,2.0,1064,7000000.0
bangalore,2.0,1126,7000000.0
bangalore,2.0,1200,7500000.0
bangalore,3.0,2200,7000000.0
bangalore,2.0,1500,5400000.0
bangalore,3.0,1241,8000000.0
bangalore,2.0,953,8000000.0
bangalore,2.0,1140,5200000.0
bangalore,2.0,1116,5900000.0
bangalore,2.0,1116,5900000.0
bangalore,3.0,1200,18000000.0
bangalore,3.0,1540,8775000.0
bangalore,3.0,1464,5500000.0
bangalore,2.0,1330,7900000.0
bangalore,2.0,1190,5500000.0
bangalore,3.0,2162,11000000.0
bangalore,2.0,1225,7500000.0
bangalore,2.0,1300,6000000.0
bangalore,2.0,1050,4500000.0
bangalore,2.0,1050,4500000.0
bangalore,5.0,5800,43000000.0
bangalore,3.0,1775,11000000.0
bangalore,2.0,949,5200000.0
bangalore,2.0,1090,7300000.0
bangalore,2.0,1215,8800000.0
bangalore,3.0,1453,6800000.0
bangalore,2.0,1091,3800000.0
bangalore,3.0,1850,18000000.0
bangalore,4.0,2655,28500000.0
bangalore,3.0,1499,9000000.0
bangalore,3.0,1500,11900000.0
bangalore,3.0,1450,13000000.0
bangalore,2.0,1188,6500000.0
bangalore,5.0,5200,45000000.0
bangalore,2.0,1380,7500000.0
