PROP_NAME,PROP_HEADING,AGE,PRICE,CITY,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATITUDE,LONGITUDE,url
"Bow Bazaar, Kolkata","10 BHK Independent House for sale in Bow Bazaar, Kolkata",,1.5 Cr,Kolkata,"Bow Bazaar, Kolkata",3500,4290,"Property for sale in Bow Bazaar, Kolkata. This 10 BHK Independent House is located in Kolkata's most promising location. This property is posted by owner and there is no brokerage involved. This Independent House's price is Rs 1.5 Cr. Homebuyers will also need to pay Rs 0 towards maintenance. The built-up area is 3500 Square feet. This Independent House is strategically located within close distance of famous healthcare centres such as Academic Building, Nil Ratan Sircar Medical College, Belle Vue Clinic, and Dr R Ahmed Dental College and Hospital (Old Building). Schools like St Xavier Collegi...",10.0,22.5725398,88.3524126,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAe1_fQtpxpCpRQIX7ACABWVPCQ11n1odTGA&s
"Shobhabazar, Kolkata","4 BHK Independent House for sale in Shobhabazar, Kolkata",,1.6 Cr,Kolkata,"Shobhabazar, Kolkata",1439,11120,"Looking for a good 4 BHK Independent House in Shobhabazar, Kolkata? This property is in one of Kolkata's most popular locations. This is a no brokerage property. Maintenance charges of this property is Rs 0. This Independent House is available for Rs 1.6 Cr. This modern unit has a built-up area of 1439 Square feet. It is very close to some of city's best hospitals, such as, Apollo Gleneagles Hospitals, R.G. Kar Medical College and Hospital, and Veterinary PG Hostel and Emergency Hospital. Established schools, such as School, Shyambazar AV School, and Sailendra Sarker Vidyapith are also close-b...",4.0,22.595881,88.3651996,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcKKXF6xtJsA_ckbJDxOlhSCYCSLcUH09pKy6N3BWNu8rcAb8o37DISto&s
"Kashipur, Kolkata","2 BHK Flat for sale in Kashipur, Kolkata",,16.0 L,Kolkata,"Kashipur, Kolkata",500,3200,"Check out this 2 BHK Apartment for sale in Cossipore, Kolkata. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Cossipore is a promising location in Kolkata and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 4. The property's price is Rs 16.0 L. Residents in this property pay Rs 0 towards maintenance. This property is a modern-day abode, with 500 Square feet built-up area. Educational institut...",2.0,22.6259247,88.3723226,https://images.unsplash.com/photo-1628745423010-bfb4df95f3eb?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NzR8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
Magnolia City,"3 BHK Flat for sale in Barasat, Kolkata",,26.0 L,Kolkata,"Barasat, Kolkata",1093,2380,"One of the finest property in Barasat is now available for sale. This is a 3 BHK Apartment posted directly by owner. Make it yours now. It is on floor 0. It is a 4 storeyed building. The price of this Apartment is Rs 26.0 L. Other charges when you move into this property include maintenance, which is Rs 1500. This Apartment is spacious with a built-up area of 1093 Square feet. There are 3 bedrooms and 2 bathroom. Lift facility is also available. This is a gated community. This property is equipped with cctv facility. Health enthusiasts will enjoy the host of special facilities, such as provisi...",3.0,22.7240295,88.4889199,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyiVZsxHWJgiUG5BXh2ehDmMTVjP-AtqC4ig&s
"Shobhabazar, Kolkata","4 BHK Independent House for sale in Shobhabazar, Kolkata",,1.6 Cr,Kolkata,"Shobhabazar, Kolkata",2080,7690,"4 BHK Independent House for sale in Shobhabazar, Kolkata. This 4 BHK unit is available in Shobhabazar and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Shobhabazar. The price of this Independent House is Rs 1.6 Cr. Residents in this project also pay monthly maintenance charges of Rs 0. The built-up area is 2080 Square feet. This property is at a walking distance from Apollo Gleneagles Hospitals, R.G. Kar Medical College and Hospital, and Veterinary PG Hos...",4.0,22.595881,88.3651996,https://media.istockphoto.com/id/2156751937/photo/modern-3d-render-of-a-contemporary-living-room-interior-design.webp?a=1&b=1&s=612x612&w=0&k=20&c=darIlhtomJuqFxDdqqUTKpORFNYACo7WHfdRhqj8Rxw=
"Diamond Harbour, Kolkata","8 BHK Independent House for sale in Diamond Harbour, Kolkata",,1.5 Cr,Kolkata,"Diamond Harbour, Kolkata",4000,3750,"Check out this 8 BHK Independent House for sale in Diamond Harbour, Kolkata. This property is posted by owner and thus there is no need to pay any broker amount. This 8 BHK Independent House is perfect for a modern-day lifestyle. Diamond Harbour is a promising location in Kolkata and this is one of the finest properties in the area. Buy this Independent House for sale now. The property's price is Rs 1.5 Cr. Residents in this property pay Rs 0 towards maintenance. This property is a modern-day abode, with 4000 Square feet built-up area. The unit has 8 bedrooms and 6 bathroom. Educational instit...",8.0,22.4954675,88.3166809,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTMGFidjuKnQ0iSmJouNcdQuo3AC54Ne70CQ&s
"Kankurgachi, Kolkata","2 BHK Independent House for sale in Kankurgachi, Kolkata",,2.5 Cr,Kolkata,"Kankurgachi, Kolkata",750,33330,"2 BHK Independent House for sale in Kolkata. This property is in Kankurgachi, which is a coveted investment location. This tastefully designed 2 BHK unit is among Kolkata's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 2.5 Cr. Monthly maintenance charges come to Rs 0. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 750 Square feet. Some of the very well-known and reputed speciality hospitals like Apollo Gle...",2.0,22.5789725,88.3915174,https://images.pexels.com/photos/439391/pexels-photo-439391.jpeg?auto=compress&cs=tinysrgb&w=1200
"Goa Bagan, Maniktala,Kolkata","5 BHK Independent House for sale in Maniktala, Kolkata",,1.3 Cr,Kolkata,"Goa Bagan, Maniktala,Kolkata",3300,3940,"Property for sale in Maniktala, Kolkata. This 5 BHK Independent House is located in Kolkata's most promising location. This property is posted by owner and there is no brokerage involved. This Independent House's price is Rs 1.3 Cr. Homebuyers will also need to pay Rs 0 towards maintenance. This Independent House is a spacious unit, with carpet area of 3300 Square feet and is ideal for families. The built-up area is 3300 Square feet. The property has 5 bedrooms and 3 bathroom. This Independent House is strategically located within close distance of famous healthcare centres such as Apollo Glen...",5.0,22.5891973,88.3724999,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSAocrl9gU05bXdZ8SHdVl63XZqJJLIlHCien30uNsL4HZvjRt8UGJUyg&s
"Barrackpore, Kolkata","1 BHK Flat for sale in Barrackpore, Kolkata",,17.0 L,Kolkata,"Barrackpore, Kolkata",460,3690,"A 1 BHK Apartment for sale in Barrackpore, Kolkata. Posted by Owner, No brokerage involved. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Barrackpore's most desired properties. Contact now for more information. This 1 BHK unit is on floor 0. There are 4 floors in this property. The price of this Apartment is Rs 17.0 L. Maintenance charges come to Rs 0. Each unit has a built-up area of 460 Square feet. There are 1 bedroom. This residential property is near Barrackpore A.B Model High School (H.S), Barrackpore A. B. Model High School (H.S), and Malay Dutta. It is...",1.0,22.6380124,88.3958929,https://images.unsplash.com/photo-1598928506311-c55ded91a20c?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Nnx8bGl2aW5nJTIwcm9vbXxlbnwwfHwwfHx8MA%3D%3D
"Swiss Park,Rajendra Prasad Colony, Tollygunge,Kolkata","1 BHK Flat for sale in Tollygunge, Kolkata",,37.0 L,Kolkata,"Swiss Park,Rajendra Prasad Colony, Tollygunge,Kolkata",700,5290,"One of the finest property in Tollygunge is now available for sale. This is a 1 BHK Apartment posted directly by owner. Make it yours now. It is on floor 3. It is a 3 storeyed building. The price of this Apartment is Rs 37.0 L. Other charges when you move into this property include maintenance, which is Rs 1500. This Apartment is spacious with a built-up area of 700 Square feet. There are 1 bedroom and 1 bathroom. This property ensures you are a quick distance away from the city's best schools such as Sri Sri Academy, Dav Public School, and Future Foundation School. It is also close to good an...",1.0,22.5043139,88.3486225,https://media.istockphoto.com/id/1184204517/photo/modern-scandinavian-living-room-interior-3d-render.webp?a=1&b=1&s=612x612&w=0&k=20&c=CZzR0EteHu-3vbyM0QFffaI0i-Db_gSNl1ltQW8kxxo=
