PROP_NAME,PROP_HEADING,AGE,PRICE,CITY,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATITUDE,LONGITUDE,url
Jeet Sunshine Phase III,"3 BHK Flat for sale in Mukundapur, Kolkata",,95.0 L,Kolkata,"Mukundapur, Kolkata",1107,8580,"3 BHK Apartment for sale in Mukundapur, Kolkata. This 3 BHK unit is available in Mukundapur and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Mukundapur. It is on floor 3. The total number of floors is 3. The price of this Apartment is Rs 95.0 L. Residents in this project also pay monthly maintenance charges of Rs 1300. The built-up area is 1107 Square feet. There are 3 bedrooms and 2 bathroom. The property is South-East-facing. This building is equipped ...",3.0,22.4956263,88.398449,https://images.pexels.com/photos/276724/pexels-photo-276724.jpeg?auto=compress&cs=tinysrgb&w=1200
"Bangur, Lake Town,Kolkata","3 BHK Flat for sale in Lake Town, Kolkata",,1.0 Cr,Kolkata,"Bangur, Lake Town,Kolkata",1680,5950,"A 3 BHK Apartment for sale in Lake Town, Kolkata. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Lake Town's most desired properties. Contact now for more information. This 3 BHK unit is on floor 4. There are 4 floors in this property. The price of this Apartment is Rs 1.0 Cr. Each unit has a built-up area of 1680 Square feet. The carpet area is 1344 Square feet. There are 3 bedrooms. There is provision for 3 bathroom. This residential property is near Aditya Academy, Kendriya Vidyalaya, and Mrs Arora Tutorial. It is also...",3.0,22.6058664,88.4111278,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fGhvdXNlfGVufDB8fDB8fHww
Dream Residency,"2 BHK Flat for sale in Rajarhat, Kolkata",,45.0 L,Kolkata,"Rajarhat, Kolkata",930,4840,"One of the finest property in Rajarhat is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 5 storeyed building. The price of this Apartment is Rs 45.0 L. This Apartment is spacious with a built-up area of 930 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as KiDS Foundation Pre-School (Newtown Branch), Rishav Rohit SILVER OAK, and Madrasa Ashraful Uloom Rajarhat. It is also close to good and reputed hospitals like Apollo Gleneagles Hos...",2.0,22.6231943,88.4437332,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSAocrl9gU05bXdZ8SHdVl63XZqJJLIlHCien30uNsL4HZvjRt8UGJUyg&s
Golf Green Urban Complex,"3 BHK Flat for sale in Golf Green, Kolkata",,75.0 L,Kolkata,"Golf Green, Kolkata",1100,6820,"A 3 BHK Apartment for sale in Golf Green, Kolkata. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Golf Green's most desired properties. Contact now for more information. This 3 BHK unit is on floor 5. There are 5 floors in this property. The price of this Apartment is Rs 75.0 L. Each unit has a built-up area of 1100 Square feet. This South-facing property has an excellent view. There are 3 bedrooms. There is provision for 3 bathroom. The Apartment in Golf Green, Kolkata has lift facility. Other facilities include provisio...",3.0,22.4913328,88.3618382,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStjQam3Vm0lIzzory2JNyY0lUrja0HcP_e9w&s
GITANJALI,"2 BHK Flat for sale in New Alipore, Kolkata",,60.0 L,Kolkata,"Sahapur, New Alipore,Kolkata",1034,5800,"Looking for a 2 BHK Apartment for sale in Kolkata? Your search ends here. Buy this 2 BHK property in Kolkata's finest location, Alipore. This is an owner listed property and there is no brokerage involved. It is on floor 3 out of 3 floors. This Apartment is available at a reasonable price of Rs 60.0 L. The built up area of this property is 1034 Square feet. This property is South facing. There are 2 bedrooms and 2 bathroom. The Apartment has lift facility. Regular water supply is available. This is a gated community. There are a number of reputed schools in the vicinity such as Sri Sri Academy...",2.0,22.5058805,88.3264025,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZ-q8tz9MVUn4YbXb-PK4rdR5mtDaJK_ODRr80Z5mbeHhooIxAIO0oZ2c&s
Ganguly 4 Sight 36,"2 BHK Flat for sale in Panchpota, Kolkata",,46.0 L,Kolkata,"Srinagar, Panchpota,Kolkata",990,4650,"Looking for a good 2 BHK Apartment in Panchpota, Kolkata? This property is in one of Kolkata's most popular locations. This is a no brokerage property. The property is on floor 1. Total number of floors is 4. This Apartment is available for Rs 48.0 L. This modern unit has a built-up area of 990 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Peerless Hospital, Rabindranath Tagore International Institute Of Cardiac Sciences, and Medica Superspecialty Hospital. Established schools, such as Hatberia primary school, Sristi Motor Trainin...",2.0,22.4731645,88.4051997,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCgib1mqHFf0xP0mgqZIYJGrUwxkzi46H2Og&s
Larica Township,"3 BHK Flat for sale in Barasat, Kolkata",,25.0 L,Kolkata,"Barasat, Kolkata",1147,2180,"Property for sale in Barasat, Kolkata. This 3 BHK Apartment is located in Kolkata's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 4. The total number of floors in this building is 5. This Apartment's price is Rs 25.0 L. Homebuyers will also need to pay Rs 0 towards maintenance. The built-up area is 1147 Square feet. This Apartment is strategically located within close distance of famous healthcare centres such as Narayana Multispeciality Hospital, Barasat, North 24 Parganas District Hospital (barasat hospital), and District Veterin...",3.0,22.7240295,88.4889199,https://images.pexels.com/photos/276724/pexels-photo-276724.jpeg?auto=compress&cs=tinysrgb&w=1200
Rishi Ecoview,"3 BHK Flat for sale in Deshbandhu Nagar, Kolkata",,1.06 Cr,Kolkata,"Deshbandhu Nagar, Kolkata",1733,6090,"3 BHK Apartment for sale in Kolkata. This property is in New Town, which is a coveted investment location. This tastefully designed 3 BHK unit is among Kolkata's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Kolkata is on floor 1. The total number of floors in this Apartment is 7. The price of the Apartment is Rs 1.06 Cr. Monthly maintenance charges come to Rs 3800. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1733 Square feet....",3.0,26.254624,88.1820651,https://images.unsplash.com/photo-1484101403633-562f891dc89a?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bGl2aW5nJTIwcm9vbXxlbnwwfHwwfHx8MA%3D%3D
Golf Green Urban Complex,"3 BHK Flat for sale in Golf Green, Kolkata",,60.0 L,Kolkata,"Golf Green, Kolkata",1200,5000,"3 BHK Apartment for sale in Golf Green, Kolkata with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Golf Green which is a promising investment destination in Kolkata. This might be your chance to grab the best 3 BHK property for sale in Golf Green. The property is on floor 0 and the total number of floors is 4. This 3 BHK Apartment is available at a reasonable price of Rs 60.0 L. The built-up area is 1200 Square feet. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like AMRI Hospital - Dh...",3.0,22.4913328,88.3618382,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbGTZSL1OiofYCjJvDIL40aAzI8iTWv6erpw&s
Magnolia Mint,"3 BHK Flat for sale in Kalikapur, Kolkata",,55.0 L,Kolkata,"Kalikapur, Kolkata",851,6460,"A 3 BHK Apartment for sale in Kalikapur, Kolkata. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Kalikapur's most desired properties. Contact now for more information. This 3 BHK unit is on floor 3. There are 5 floors in this property. The price of this Apartment is Rs 55.0 L. Each unit has a built-up area of 851 Square feet. There are 3 bedrooms. There is provision for 3 bathroom. This residential property is near Delhi Public School Megacity, Teghoria Primary School, and ICDS School. It is also close to Daradia Pain Hos...",3.0,22.5053017,88.4009957,https://images.pexels.com/photos/1918291/pexels-photo-1918291.jpeg?auto=compress&cs=tinysrgb&w=800
shivam apartment,"2 BHK Flat for sale in Tollygunge, Kolkata",,35.0 L,Kolkata,"Rajendra Prasad Colony, Tollygunge,Kolkata",1500,2330,"2 BHK Apartment for sale in Kolkata. This property is in Tollygunge, which is a coveted investment location. This tastefully designed 2 BHK unit is among Kolkata's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Kolkata is on floor 3. The total number of floors in this Apartment is 4. The price of the Apartment is Rs 35.0 L. Monthly maintenance charges come to Rs 0. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1500 Square feet. S...",2.0,22.4874821,88.3430889,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTem4jAshPAqwp9TFZHOe5Ur3KGxxXWB8-f-A&s
Ideal Heights,"4 BHK Flat for sale in Raja Bazar, Kolkata",,2.05 Cr,Kolkata,"Raja Bazar, Kolkata",2000,10250,"4 BHK Apartment for sale in Raja Bazar, Kolkata. This 4 BHK unit is available in Raja Bazar and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Raja Bazar. It is on floor 1. The total number of floors is 23. The price of this Apartment is Rs 2.05 Cr. Residents in this project also pay monthly maintenance charges of Rs 0. The built-up area is 2000 Square feet. This property is at a walking distance from Apollo Gleneagles Hospitals, NRS Hospital Emergency Dep...",4.0,22.5727779,88.3716794,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUMEKlzQimuIoPkRM6xG9YQu812i_zhbrX6Q&s
"Selimpur, Dhakuria,Kolkata","3 BHK Flat for sale in Dhakuria, Kolkata",,48.0 L,Kolkata,"Selimpur, Dhakuria,Kolkata",1100,4360,"Looking for a 3 BHK Apartment for sale in Kolkata? Your search ends here. Buy this 3 BHK property in Kolkata's finest location, Dhakuria. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 2 floors. This Apartment is available at a reasonable price of Rs 48.0 L. Maintenance charges in this property is Rs 600. The built up area of this property is 1100 Square feet. There are a number of reputed schools in the vicinity such as Sahid Smriti Sangha, South Point High School, and Delhi Public School Ruby Park Kolkata Senior School. Medical facility is also c...",3.0,22.5049812,88.3744719,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MjB8fGhvdXNlfGVufDB8fDB8fHww
"New Town, Kolkata","3 BHK Flat for sale in New Town, Kolkata",,68.0 L,Kolkata,"New Town, Kolkata",1500,4530,"3 BHK Apartment for sale in Kolkata. This property is in New Town, which is a coveted investment location. This tastefully designed 3 BHK unit is among Kolkata's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Kolkata is on floor 4. The total number of floors in this Apartment is 4. The price of the Apartment is Rs 68.0 L. Monthly maintenance charges come to Rs 2000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1500 Square feet. ...",3.0,22.6564623,88.4467245,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fGhvdXNlfGVufDB8fDB8fHww
"Kalyan Nagar, Rahara,Kolkata","3 BHK Flat for sale in Rahara, Kolkata",,35.0 L,Kolkata,"Kalyan Nagar, Rahara,Kolkata",1145,3060,"Property for sale in Rahara, Kolkata. This 3 BHK Apartment is located in Kolkata's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 2. The total number of floors in this building is 6. This Apartment's price is Rs 35.0 L. Homebuyers will also need to pay Rs 1000 towards maintenance. This Apartment is a spacious unit, with carpet area of 1000 Square feet and is ideal for families. The built-up area is 1145 Square feet. The property has 3 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous he...",3.0,22.718534,88.3892209,https://images.unsplash.com/photo-1582268611958-ebfd161ef9cf?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MjZ8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
"Kalighat, Kolkata","3 BHK Flat for sale in Kalighat, Kolkata",,2.0 Cr,Kolkata,"Kalighat, Kolkata",1640,12200,"A 3 BHK Apartment for sale in Kalighat, Kolkata. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Kalighat's most desired properties. Contact now for more information. This 3 BHK unit is on floor 3. There are 4 floors in this property. The price of this Apartment is Rs 2.0 Cr. Maintenance charges come to Rs 0. Each unit has a built-up area of 1640 Square feet. There are 3 bedrooms. This residential property is near The Bhawanipur Education Society College, Tennis, and South Point High School. It is also close to Ramakrishna...",3.0,22.5153313,88.3477052,https://images.pexels.com/photos/259962/pexels-photo-259962.jpeg?auto=compress&cs=tinysrgb&w=1200
"Nagerbazar, Kolkata","2 BHK Flat for sale in Nagerbazar, Kolkata",,29.0 L,Kolkata,"Nagerbazar, Kolkata",750,3870,"1 min walking from Nager Bazar more. East facing, road, garden & pond view from balcony.  More About This Property Check out this 2 BHK Apartment for sale in Kamardanga, Kolkata. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Kamardanga is a promising location in Kolkata and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 5. The property's price is Rs 29.0 L. Residents in this property pay Rs...",2.0,22.6215504,88.4022842,https://images.unsplash.com/photo-1621070659899-40b6b6f6731d?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU1fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
Maa Tara Apartment,"2 BHK Flat for sale in Tollygunge, Kolkata",,20.0 L,Kolkata,"Rajendra Prasad Colony, Tollygunge,Kolkata",650,3080,"2 BHK Apartment for sale in Tollygunge, Kolkata. This 2 BHK unit is available in Tollygunge and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Tollygunge. It is on floor 1. The total number of floors is 3. The price of this Apartment is Rs 20.0 L. Residents in this project also pay monthly maintenance charges of Rs 0. The built-up area is 650 Square feet. This property is at a walking distance from Fortis Hospital and kidney Institute, Rash Behari, Kolkata...",2.0,22.4874821,88.3430889,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7R0g7vak7sZWKE5sAPTMMaCGPMyr12pD-aw&s
mannat apartment,"2 BHK Flat for sale in Tiljala, Kolkata",,39.5 L,Kolkata,"Tiljala, Kolkata",724,5460,"Looking for a good 2 BHK Apartment in Tiljala, Kolkata? This property is in one of Kolkata's most popular locations. This is a no brokerage property. The property is on floor 3. Total number of floors is 4. Maintenance charges of this property is Rs 0. This Apartment is available for Rs 39.5 L. This modern unit has a built-up area of 724 Square feet. It is very close to some of city's best hospitals, such as, Fortis Hospital, Anandapur, ডিসান হাসপাতাল, and Ruby Cancer Centre. Established schools, such as South Point High School, Don Bosco School, and Delhi Public School Ruby Park Kolkata Senio...",2.0,22.5326499,88.3698257,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOgUr6lvtRkgLS_xfsf5Mo1l_G0OlI8K6yTg&s
Vedic Spa Suites,"3 BHK Flat for sale in New Town, Kolkata",,71.7 L,Kolkata,"New Town, Kolkata",1500,4780,"A 3 BHK Apartment for sale in New Town, Kolkata. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of New Town's most desired properties. Contact now for more information. This 3 BHK unit is on floor 3. There are 4 floors in this property. The price of this Apartment is Rs 71.7 L. Maintenance charges come to Rs 0. Each unit has a built-up area of 1465 Square feet. There are 3 bedrooms. There is provision for 2 bathroom. This residential property is near Vedic Maths Forum India, Delhi Public School, New Town, and The Newtown Sch...",3.0,22.6564623,88.4467245,https://images.unsplash.com/photo-1722421492323-eaf9c401befe?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTM5fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
Vedic Spa Suites,"3 BHK Flat for sale in New Town, Kolkata",,71.7 L,Kolkata,"New Town, Kolkata",1465,4890,"Looking for a good 3 BHK Apartment in New Town, Kolkata? This property is in one of Kolkata's most popular locations. This is a no brokerage property. The property is on floor 3. Total number of floors is 4. Maintenance charges of this property is Rs 0. This Apartment is available for Rs 71.7 L. This modern unit has a built-up area of 1465 Square feet. It is very close to some of city's best hospitals, such as, Tata Medical Center, Ohio Hospital, and HCG EKO Cancer Centre Kolkata. Established schools, such as Vedic Maths Forum India, Delhi Public School, New Town, and The Newtown School,Kolkat...",3.0,22.6564623,88.4467245,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVApfb8p9n8rBz78SFU33XyoNxZstFv_KuHw&s
"Selimpur, Dhakuria,Kolkata","2 BHK Flat for sale in Dhakuria, Kolkata",,30.0 L,Kolkata,"Selimpur, Dhakuria,Kolkata",650,4620,"Looking for a 2 BHK Apartment for sale in Kolkata? Your search ends here. Buy this 2 BHK property in Kolkata's finest location, Dhakuria. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 3 floors. This Apartment is available at a reasonable price of Rs 30.0 L. Maintenance charges in this property is Rs 0. The built up area of this property is 650 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as Sahid Smriti Sangha, South Point High School, and Delhi Public School Ruby Park Kolkata Senior ...",2.0,22.5049812,88.3744719,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpOuCLCCohtdU_Nn8UpoqfefC2-t5bY91jcA&s
Pioneer Priyadarshini,"2 BHK Flat for sale in Rajarhat, Kolkata",,31.25 L,Kolkata,"Rajarhat, Kolkata",992,3150,"Looking for a 2 BHK Apartment for sale in Kolkata? Your search ends here. Buy this 2 BHK property in Kolkata's finest location, Rajarhat. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 4 floors. This Apartment is available at a reasonable price of Rs 31.25 L. Maintenance charges in this property is Rs 1000. The built up area of this property is 992 Square feet. It is spacious for a family and this property has a carpet area of 633 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as JT Avia...",2.0,22.6231943,88.4437332,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHt04SBAFAUclp76AURqPMi4uixUx8zGVDNA&s
Daffodil Divine Bliss,"3 BHK Flat for sale in Alipore, Kolkata",,2.0 Cr,Kolkata,"Alipore, Kolkata",1674,11950,"Property for sale in Alipore, Kolkata. This 3 BHK Apartment is located in Kolkata's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 4. The total number of floors in this building is 10. This Apartment's price is Rs 2.0 Cr. Homebuyers will also need to pay Rs 4185 towards maintenance. The built-up area is 1674 Square feet. The property has 3 bedrooms and 3 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Command Hospital(Eastern Command), The Calcutta Medical Research Institu...",3.0,22.5264928,88.3323692,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDraQ5G3s2YOBtmzqzFlkkpdwGrflfHHsf2Q&s
Shanti,"2 BHK Flat for sale in Tollygunge, Kolkata",,18.0 L,Kolkata,"Rajendra Prasad Colony, Tollygunge,Kolkata",450,4000,"2 BHK Apartment for sale in Kolkata. This property is in Tollygunge, which is a coveted investment location. This tastefully designed 2 BHK unit is among Kolkata's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Kolkata is on floor 3. The total number of floors in this Apartment is 4. The price of the Apartment is Rs 18.0 L. Monthly maintenance charges come to Rs 300. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 450 Square feet. ...",2.0,22.4874821,88.3430889,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTMGFidjuKnQ0iSmJouNcdQuo3AC54Ne70CQ&s
Vedic Sanjeeva Town Bungalows,"3 BHK Flat for sale in New Town, Kolkata",,2.75 Cr,Kolkata,"Action Area I, New Town,Kolkata",2200,12500,"Check out this 3 BHK Apartment for sale in New Town, Kolkata. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. New Town is a promising location in Kolkata and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 2. The property's price is Rs 2.75 Cr. Residents in this property pay Rs 5800 towards maintenance. This property is a modern-day abode, with 2200 Square feet built-up area. It is a North-fac...",3.0,22.5786581,88.4684426,https://media.istockphoto.com/id/1213695547/photo/3d-rendering-of-an-elegant-bedroom.webp?a=1&b=1&s=612x612&w=0&k=20&c=jswcSM68zoLPkx-BAfIGp1gedm_Zx4O-DElOKp4LrGo=
"Purba Barisha, Kolkata","2 BH Flat for sale in Purba Barisha, Kolkata",,24.0 L,Kolkata,"Purba Barisha, Kolkata",769,3120,"One of the finest property in Purba Barisha is now available for sale. This is a 2 BH Apartment posted directly by owner. Make it yours now. It is on floor 3. It is a 3 storeyed building. The price of this Apartment is Rs 24.0 L. Other charges when you move into this property include maintenance, which is Rs 0. This Apartment is spacious with a built-up area of 769 Square feet. This property ensures you are a quick distance away from the city's best schools such as M P Birla Foundation Higher Secondary School, G.B. Memorial Institution, and Barisha High School. It is also close to good and rep...",,22.4592977,88.3202144,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmnANnncOBGJj9-VH5E6utNFsFLjkyr7cvQg&s
Space Silver Spring,"3 BHK Flat for sale in Tangra, Kolkata",,2.7 Cr,Kolkata,"Tangra, Kolkata",2370,11390,"A 3 BHK Apartment for sale in Tangra, Kolkata. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Tangra's most desired properties. Contact now for more information. This 3 BHK unit is on floor 1. There are 15 floors in this property. The price of this Apartment is Rs 2.7 Cr. Maintenance charges come to Rs 6000. Each unit has a built-up area of 2370 Square feet. The carpet area is 1935 Square feet. There are 3 bedrooms. There is provision for 2 bathroom. This residential property is near Don Bosco School, Grace Ling Liang Eng...",3.0,22.5565107,88.3795946,https://plus.unsplash.com/premium_photo-1661964475795-f0cb85767a88?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NjF8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
Vedic Sanjeeva Town Bungalows,"3 BHK Villa for sale in New Town, Kolkata",,2.75 Cr,Kolkata,"Action Area I, New Town,Kolkata",2200,12500,"Fully furnished, ready to move-in,  Independent bungalow/villa within a gated community. It’s a duplex bungalow, 3 BHK on an exclusive land of 3 cottah, with exclusive front lawn and backyard garden.

Property advantage : The bungalow is situated on a corner plot, with 3 sides open on north, south and east. On north and east, there are 20 ft wide roads adjacent, which keeps the property absolutely clutter free. The bungalow has been completely renovated very recently including both interior and exterior painting. Built up area of 2200 square feet approx. 1 exclusive covered car parking , 2 ope...",3.0,22.5786581,88.4684426,https://images.unsplash.com/photo-1598928506311-c55ded91a20c?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Nnx8bGl2aW5nJTIwcm9vbXxlbnwwfHwwfHx8MA%3D%3D
"Bijoygarh, Kolkata","2 BHK Flat for sale in Bijoygarh, Kolkata",,33.0 L,Kolkata,"Bijoygarh, Kolkata",882,3740,"2 BHK Apartment for sale in Bijoygarh, Kolkata with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Bijoygarh which is a promising investment destination in Kolkata. This might be your chance to grab the best 2 BHK property for sale in Bijoygarh. The property is on floor 1 and the total number of floors is 3. This 2 BHK Apartment is available at a reasonable price of Rs 33.0 L. Residents also need to pay maintenance charges of Rs 100. It is a very spacious property, spread over 682 Square feet. The built-up area is 882 Square ...",2.0,22.4872704,88.3685589,https://images.unsplash.com/photo-1550581190-9c1c48d21d6c?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MjB8fGxpdmluZyUyMHJvb218ZW58MHx8MHx8fDA%3D
"Bagmari, Kolkata","3 BHK Flat for sale in Bagmari, Kolkata",,1.7 Cr,Kolkata,"Bagmari, Kolkata",1718,9890,"3 BHK Apartment for sale in Bagmari, Kolkata. This 3 BHK unit is available in Bagmari and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Bagmari. It is on floor 3. The total number of floors is 12. The price of this Apartment is Rs 1.7 Cr. Residents in this project also pay monthly maintenance charges of Rs 0. The built-up area is 1718 Square feet. This property is at a walking distance from Apollo Gleneagles Hospitals, Peerless Hospital, and Apollo Glenea...",3.0,22.5840571,88.3953292,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAe1_fQtpxpCpRQIX7ACABWVPCQ11n1odTGA&s
Purti Jewel,"3 BHK Flat for sale in Tangra, Kolkata",,90.0 L,Kolkata,"Tangra, Kolkata",1127,7990,"3 BHK Apartment for sale in Tangra, Kolkata. This 3 BHK unit is available in Tangra and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Tangra. It is on floor 6. The total number of floors is 8. The price of this Apartment is Rs 90.0 L. Residents in this project also pay monthly maintenance charges of Rs 3300. The built-up area is 1127 Square feet. There are 3 bedrooms and 2 bathroom. This property is at a walking distance from Apollo Gleneagles Hospitals, ...",3.0,22.5565107,88.3795946,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSh2Id5dHqC2rHXkmtupJTtwF--hHi7k73Epg&s
"Kalikapur, Kolkata","2 BHK Flat for sale in Kalikapur, Kolkata",,36.4 L,Kolkata,"Kalikapur, Kolkata",700,5200,"2 BHK Apartment for sale in Kalikapur, Kolkata. This 2 BHK unit is available in Kalikapur and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Kalikapur. It is on floor 2. The total number of floors is 2. The price of this Apartment is Rs 36.4 L. Residents in this project also pay monthly maintenance charges of Rs 0. The built-up area is 700 Square feet. This property is at a walking distance from Daradia Pain Hospital, Sankara Nethralaya New Town, and Bellv...",2.0,22.5053017,88.4009957,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSa_wPYQK-qPTd7Wd7_gaWOxCFznuYcKfsjhw&s
"Nabagram, Panchpota,Kolkata","2 BHK Independent House for sale in Panchpota, Kolkata",,33.0 L,Kolkata,"Nabagram, Panchpota,Kolkata",1305,2530,"Property for sale in Panchpota, Kolkata. This 2 BHK Independent House is located in Kolkata's most promising location. This property is posted by owner and there is no brokerage involved. This Independent House's price is Rs 33.0 L. Homebuyers will also need to pay Rs 0 towards maintenance. The built-up area is 1305 Square feet. The property has 2 bedrooms and 1 bathroom. This Independent House is strategically located within close distance of famous healthcare centres such as Peerless Hospital, Rabindranath Tagore International Institute Of Cardiac Sciences, and Netaji Subhas Chandra Bose Can...",2.0,22.4638047,88.408466,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEvcjWX9CvhOfBspzaLbqRtC1ffyzJPy_vOA&s
