PROP_NAME,PROP_HEADING,AGE,CITY,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATIUTUDE,LONGITUDE,url
Amrut,"2 BHK Flat for sale in Borivali West, Mumbai",,Mumbai,1.65 Cr,"Borivali West, Mumbai",845,19530,"Looking for a good 2 BHK Apartment in Borivali West, Mumbai? This property is in one of Mumbai's most popular locations. This is a no brokerage property. The property is on floor 1. Total number of floors is 6. Maintenance charges of this property is Rs 3300. This Apartment is available for Rs 1.65 Cr. This modern unit has a built-up area of 845 Square feet. The carpet area of this Apartment is 700 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Dr Khatav's Mother's And Child Hospital, QI Spine Clinic, and HCG CANCER CENTER Borivali...",2.0,19.2313925,72.8408607,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTem4jAshPAqwp9TFZHOe5Ur3KGxxXWB8-f-A&s
Rustomjee Royale,"3 BHK Flat for sale in Borivali West, Mumbai",,Mumbai,3.8 Cr,"Borivali West, Mumbai",1806,21040,"Looking for a 3 BHK Apartment for sale in Mumbai? Your search ends here. Buy this 3 BHK property in Mumbai's finest location, Borivali West. This is an owner listed property and there is no brokerage involved. It is on floor 9 out of 10 floors. This Apartment is available at a reasonable price of Rs 3.8 Cr. Maintenance charges in this property is Rs 22000. The built up area of this property is 1806 Square feet. It is spacious for a family and this property has a carpet area of 1555 Square feet. There are 3 bedrooms and 3 bathroom. There are a number of reputed schools in the vicinity such as S...",3.0,19.2313925,72.8408607,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8gUmK06a7D4CltqnIhXcRZS6bVn6ercPGJg&s
 Shikshak Mitra Mandal CHS,"2 BHK Flat for sale in Kurla West, Mumbai",,Mumbai,1.65 Cr,"Kapadia Nagar, Kurla West,Mumbai",750,22000,"A 2 BHK Apartment for sale in Kurla, Mumbai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Kurla's most desired properties. Contact now for more information. This 2 BHK unit is on floor 2. There are 3 floors in this property. The price of this Apartment is Rs 1.65 Cr. Maintenance charges come to Rs 2500. Each unit has a built-up area of 750 Square feet. The carpet area is 632 Square feet. There are 2 bedrooms. There is provision for 1 bathroom. Other facilities include provisions for Garden. This residential property is ...",2.0,19.075081,72.8726577,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fGhvdXNlfGVufDB8fDB8fHw
krupasindhuhousing,"1 BHK Flat for sale in Kurla East, Mumbai",,Mumbai,95.0 L,"Kamgaar Nagar, Kurla East,Mumbai",475,20000,"Looking for a 1 BHK Apartment for sale in Mumbai? Your search ends here. Buy this 1 BHK property in Mumbai's finest location, Chembur. This is an owner listed property and there is no brokerage involved. It is on floor 5 out of 7 floors. This Apartment is available at a reasonable price of Rs 95.0 L. Maintenance charges in this property is Rs 2700. The built up area of this property is 475 Square feet. It is spacious for a family and this property has a carpet area of 333 Square feet. There are 1 bedroom and 1 bathroom. There are a number of reputed schools in the vicinity such as St. Anthony'...",1.0,19.0591834,72.8855608,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmnANnncOBGJj9-VH5E6utNFsFLjkyr7cvQg&s
"Dunhill,Bandra West, Mumbai","3 BHK Flat for sale in Bandra West, Mumbai",,Mumbai,3.9 Cr,"Dunhill,Bandra West, Mumbai",1200,32500,"Looking for a good 3 BHK Apartment in Bandra West, Mumbai? This property is in one of Mumbai's most popular locations. This is a no brokerage property. The property is on floor 5. Total number of floors is 6. Maintenance charges of this property is Rs 5000. This Apartment is available for Rs 3.9 Cr. This modern unit has a built-up area of 1200 Square feet. The carpet area of this Apartment is 840 Square feet. There are 3 bedrooms and 3 bathroom. It is very close to some of city's best hospitals, such as, Holy Family Multispeciality Hospital Bandra, Lilavati Hospital And Research Centre, and Oj...",3.0,19.0543263,72.8284848,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPqFi7EUuUAdPJU6LwxL0MFerMNGOl7q3wfA&s
Westin Eksar Gurukripa CHS LTD,"2 BHK Flat for sale in Borivali West, Mumbai",,Mumbai,1.62 Cr,"Eksar, Borivali West,Mumbai",825,19640,"One of the finest property in Borivali West is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 13. It is a 16 storeyed building. The price of this Apartment is Rs 1.62 Cr. Other charges when you move into this property include maintenance, which is Rs 4000. This Apartment is spacious with a built-up area of 825 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as St. Lawrence High School, Mary Immaculate Girls' High School, and Arihant Academy. It ...",2.0,19.2403773,72.8434456,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEvcjWX9CvhOfBspzaLbqRtC1ffyzJPy_vOA&s
Ajay Apartment CHS,"1 BHK Flat for sale in Goregaon East, Mumbai",,Mumbai,1.25 Cr,"Aarey Colony, Goregaon East,Mumbai",600,20830,"Looking for a 1 BHK Apartment for sale in Mumbai? Your search ends here. Buy this 1 BHK property in Mumbai's finest location, Goregaon East. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 1 floors. This Apartment is available at a reasonable price of Rs 1.25 Cr. Maintenance charges in this property is Rs 2000. The built up area of this property is 600 Square feet. It is spacious for a family and this property has a carpet area of 480 Square feet. There are 1 bedroom and 2 bathroom. It is a thoroughly safe premise with cctv facility. Other facilitie...",1.0,19.1695389,72.8587902,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQT9kgO1jNRbDZusATwtcUqCH45USzCvxFz2g&s
Rambha Tower,"1 BHK Flat for sale in Ghatkopar West, Mumbai",,Mumbai,1.0 Cr,"Gangawadi, Ghatkopar West,Mumbai",600,16670,"One of the finest property in Ghatkopar West is now available for sale. This is a 1 BHK Apartment posted directly by owner. Make it yours now. It is on floor 6. It is a 7 storeyed building. The price of this Apartment is Rs 1.0 Cr. This Apartment is spacious with a built-up area of 600 Square feet. The carpet area is 450 Square feet. It is a East-facing property with a good view. There are 1 bedroom and 1 bathroom. This property ensures you are a quick distance away from the city's best schools such as All India Education Society High School, K.V.K Ghatkopar Sarvajanik School, and KVK Sarvajan...",1.0,19.0918347,72.910128,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0WQqK3erZrT8CVJGb0GYtcdsFtswqB00eYw&s
"Pant Nagar, Ghatkopar East,Mumbai","1 BHK Flat for sale in Ghatkopar East, Mumbai",,Mumbai,1.49 Cr,"Pant Nagar, Ghatkopar East,Mumbai",340,43820,"It's Mhada society of 7floors,
the society consists of 6wings.
This society is at the most prime location of ghatkopar east, opposite CBI Quarters.
Malls, shops, hospitals, station, theatres are all at a walkable distance of 5min from the society.
The location is situated around a famous garden (Arun vaidhya garden). The landmark is ganesh mandir.
The metro station from Mumbai to kasarvadavli Thane passed from our society gate. The future of this location is bright and strong. Market rates are boosting up with time and this is the best time to invest!

""THE SOCIETY HAS BEEN TAKEN FOR REDEVELOP...",1.0,19.0898651,72.9083754,https://images.unsplash.com/photo-1722421492323-eaf9c401befe?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTM5fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
V S Residency,"1 BHK Flat for sale in Ghatkopar West, Mumbai",,Mumbai,95.0 L,"Siddharth Nagar, Ghatkopar West,Mumbai",650,14620,"Check out this 1 BHK Apartment for sale in Ghatkopar West, Mumbai. This property is posted by owner and thus there is no need to pay any broker amount. This 1 BHK Apartment is perfect for a modern-day lifestyle. Ghatkopar West is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 7. The total number of floors in this project is 7. The property's price is Rs 95.0 L. This property is a modern-day abode, with 650 Square feet built-up area. The carpet-area is 430 Square feet. It is a West-facing property. The...",1.0,19.088182,72.9053291,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQT9kgO1jNRbDZusATwtcUqCH45USzCvxFz2g&s
"Pant Nagar, Ghatkopar East,Mumbai","2 BHK Flat for sale in Ghatkopar East, Mumbai",,Mumbai,1.25 Cr,"Pant Nagar, Ghatkopar East,Mumbai",568,22010,"Check out this 2 BHK Apartment for sale in Ghatkopar East, Mumbai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Ghatkopar East is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 7. The total number of floors in this project is 7. The property's price is Rs 1.25 Cr. Residents in this property pay Rs 2800 towards maintenance. This property is a modern-day abode, with 568 Square feet built-up area. The carp...",2.0,19.0898651,72.9083754,https://images.pexels.com/photos/1031593/pexels-photo-1031593.jpeg?auto=compress&cs=tinysrgb&w=800
Maruti Apartments,"2 BHK Flat for sale in Mulund West, Mumbai",,Mumbai,1.75 Cr,"Indira Nagar, Mulund West,Mumbai",1050,16670,"2 BHK Apartment for sale in Mulund West, Mumbai. This 2 BHK unit is available in Mulund West and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Mulund West. It is on floor 2. The total number of floors is 7. The price of this Apartment is Rs 1.75 Cr. Residents in this project also pay monthly maintenance charges of Rs 4000. It is a good, spacious Apartment unit with carpet area of 805 Square feet. The built-up area is 1050 Square feet. There are 2 bedrooms...",2.0,19.1753733,72.9531227,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZ-q8tz9MVUn4YbXb-PK4rdR5mtDaJK_ODRr80Z5mbeHhooIxAIO0oZ2c&s
Lucky Star Apartment,"2 BHK Flat for sale in Parel, Mumbai",,Mumbai,2.2 Cr,"Parel, Mumbai",1100,20000,"One of the finest property in Parel is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 2. It is a 3 storeyed building. This Apartment is spacious with a built-up area of 1100 Square feet. The carpet area is 850 Square feet. It is a North-East-facing property with a good view. There are 2 bedrooms and 2 bathroom. This property is equipped with cctv facility. This property ensures you are a quick distance away from the city's best schools such as RST Forum | CCNA CCNP CCIE | Linux MCSE VMware Security Python SDN Training Mumbai, Dr. A...",2.0,19.0084268,72.842505,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmVs6XebhjPJFMe4Msluqr4TKh5hVz9J7FeA&s
"Jawahar Nagar, Goregaon West,Mumbai","1 BHK Flat for sale in Goregaon West, Mumbai",,Mumbai,1.5 Cr,"Jawahar Nagar, Goregaon West,Mumbai",537,27930,"Looking for a good 1 BHK Apartment in Goregaon West, Mumbai? This property is in one of Mumbai's most popular locations. This is a no brokerage property. The property is on floor 2. Total number of floors is 3. Maintenance charges of this property is Rs 800. This Apartment is available for Rs 1.5 Cr. This modern unit has a built-up area of 537 Square feet. The carpet area of this Apartment is 430 Square feet. There are 1 bedroom and 1 bathroom. It is very close to some of city's best hospitals, such as, Qispine, Bombay Hospital & Medical Research Centre, and Suvidha Hospital & Polyclinic. Esta...",1.0,19.1607297,72.8475308,https://images.pexels.com/photos/271624/pexels-photo-271624.jpeg?auto=compress&cs=tinysrgb&w=800
Amrut Lahari Apartment,"1 BHK Flat for sale in Ghatkopar West, Mumbai",,Mumbai,99.5 L,"Barve Nagar, Ghatkopar West,Mumbai",575,17300,"Property for sale in Ghatkopar West, Mumbai. This 1 BHK Apartment is located in Mumbai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 3. The total number of floors in this building is 7. This Apartment's price is Rs 99.5 L. Homebuyers will also need to pay Rs 1000 towards maintenance. This Apartment is a spacious unit, with carpet area of 421 Square feet and is ideal for families. The built-up area is 575 Square feet. The property has 1 bedroom and 1 bathroom. This Apartment is strategically located within close distance of famous...",1.0,19.0952831,72.9001776,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDraQ5G3s2YOBtmzqzFlkkpdwGrflfHHsf2Q&s
Millennium Court,"3 BHK Flat for sale in Andheri West, Mumbai",,Mumbai,4.05 Cr,"Mhada Colony, Andheri West,Mumbai",1800,22500,"3 BHK Apartment for sale in Andheri West, Mumbai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Andheri West which is a promising investment destination in Mumbai. This might be your chance to grab the best 3 BHK property for sale in Andheri West. The property is on floor 21 and the total number of floors is 23. This 3 BHK Apartment is available at a reasonable price of Rs 4.05 Cr. Residents also need to pay maintenance charges of Rs 6500. It is a very spacious property, spread over 1270 Square feet. The built-up area is...",3.0,19.1339249,72.8255967,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUJ-ufHOCoOF5cpUEU0FRDDDYVt9kDHKN4S3GYCG116-SVp1fAf-kygOU&s
vatsalya,"2 BHK Flat for sale in Kandivali West, Mumbai",,Mumbai,1.15 Cr,"Sector 8, Kandivali West,Mumbai",750,15330,"Check out this 2 BHK Apartment for sale in Kandivali West, Mumbai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Kandivali West is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 7. The total number of floors in this project is 7. The property's price is Rs 1.15 Cr. Residents in this property pay Rs 3000 towards maintenance. This property is a modern-day abode, with 750 Square feet built-up area. The carp...",2.0,19.2084439,72.8420309,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRA-Fj_3qPhtmqo4iJHkXkIZ5B2pBcyIYRyAw&s
Ruparel Ruparel Elara,"1 BHK Flat for sale in Kandivali West, Mumbai",,Mumbai,1.15 Cr,"Kandivali West, Mumbai",650,17690,"1 BHK Apartment for sale in Mumbai. This property is in Kandivali West, which is a coveted investment location. This tastefully designed 1 BHK unit is among Mumbai's best properties. No brokerage to be paid for this property. This 1 BHK property is posted directly by Owner. Contact now for more details. This property in Mumbai is on floor 8. The total number of floors in this Apartment is 22. The price of the Apartment is Rs 1.15 Cr. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 650 Square feet. The carpet area is 410 Square feet. It ha...",1.0,19.2084439,72.8420309,https://media.istockphoto.com/id/1184204517/photo/modern-scandinavian-living-room-interior-3d-render.webp?a=1&b=1&s=612x612&w=0&k=20&c=CZzR0EteHu-3vbyM0QFffaI0i-Db_gSNl1ltQW8kxxo=
Embassy,"2 BHK Flat for sale in Ghatkopar East, Mumbai",,Mumbai,1.4 Cr,"Pant Nagar, Ghatkopar East,Mumbai",600,23330,"2 BHK Apartment for sale in Ghatkopar East, Mumbai. This 2 BHK unit is available in Ghatkopar East and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Ghatkopar East. The price of this Apartment is Rs 1.4 Cr. It is a good, spacious Apartment unit with carpet area of 579 Square feet. The built-up area is 600 Square feet. There are 2 bedrooms and 2 bathroom. This property is at a walking distance from The Mumbai Heart Clinic, Shree IVF Clinic- Dr Jay Mehta, a...",2.0,19.0898651,72.9083754,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMYopneXydH1Tj-HVI4vtdHy-PKAw_HOIggg&s
"Ghartan Pada, Dahisar East,Mumbai","1 BHK Flat for sale in Dahisar East, Mumbai",,Mumbai,85.0 L,"Ghartan Pada, Dahisar East,Mumbai",400,21250,"1 BHK Apartment for sale in Mumbai. This property is in Dahisar East, which is a coveted investment location. This tastefully designed 1 BHK unit is among Mumbai's best properties. No brokerage to be paid for this property. This 1 BHK property is posted directly by Owner. Contact now for more details. This property in Mumbai is on floor 6. The total number of floors in this Apartment is 6. The price of the Apartment is Rs 85.0 L. Monthly maintenance charges come to Rs 0. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 400 Square feet. Som...",1.0,19.2519433,72.8675191,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSt2I4DhRjodbgoIeEU-68uTRJTwLA-dQ70NQ&s
Utpal Park Apartment,"2 BHK Flat for sale in Mahim, Mumbai",,Mumbai,3.25 Cr,"Mahim, Mumbai",1000,32500,"A 2 BHK Apartment for sale in Mahim, Mumbai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Mahim's most desired properties. Contact now for more information. This 2 BHK unit is on floor 5. There are 14 floors in this property. The price of this Apartment is Rs 3.25 Cr. Maintenance charges come to Rs 7500. Each unit has a built-up area of 1000 Square feet. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near RST Forum | CCNA CCNP CCIE | Linux MCSE VMware Security Python SDN Training M...",2.0,19.0423145,72.8398344,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdhMXLoV9rJzMhY4e9PTGZtKF5pj5nLgNfVg&s
"Mayuresh CHS,Sion East, Sion,Mumbai","2 BHK Flat for sale in Sion, Mumbai",,Mumbai,2.0 Cr,"Mayuresh CHS,Sion East, Sion,Mumbai",1200,16670,"2 BHK Apartment for sale in Sion, Mumbai. This 2 BHK unit is available in Sion and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Sion. It is on floor 3. The total number of floors is 3. The price of this Apartment is Rs 2.0 Cr. Residents in this project also pay monthly maintenance charges of Rs 0. The built-up area is 1200 Square feet. This property is at a walking distance from Asian Heart Institute, Surana Sethia Hospital, and Zen Multi Speciality Hosp...",2.0,19.0365907,72.8670365,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaYVpaZGn8odKSp7EX8d9Tb-vMbb5lkKp5AA&s
"Kondivita, Andheri East,Mumbai","1 BHK Flat for sale in Andheri East, Mumbai",,Mumbai,1.5 Cr,"Kondivita, Andheri East,Mumbai",450,33330,"A 1 BHK Apartment for sale in Andheri East, Mumbai. Posted by Owner, No brokerage involved. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Andheri East's most desired properties. Contact now for more information. This 1 BHK unit is on floor 4. There are 7 floors in this property. The price of this Apartment is Rs 1.5 Cr. Each unit has a built-up area of 450 Square feet. The carpet area is 450 Square feet. This East-facing property has an excellent view. There are 1 bedroom. There is provision for 2 bathroom. This residential property is near German Spanish Fren...",1.0,19.1112515,72.8660859,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEvcjWX9CvhOfBspzaLbqRtC1ffyzJPy_vOA&s
Jay Shilpam Co-operative Housing Society LTD,"1 BHK Flat for sale in Ghatkopar West, Mumbai",,Mumbai,1.15 Cr,"Damodar Park, Ghatkopar West,Mumbai",600,19170,"It is an airy, fully furnished property with 24*7 water and electricity supply, spacious interiors and natural light. It is a very attractive property. It is close to market, banks, jain derasar, malls and at a 10-Minute distance from railway and metro stations. More About This Property Looking for a 1 BHK Apartment for sale in Mumbai? Your search ends here. Buy this 1 BHK property in Mumbai's finest location, Ghatkopar West. This is an owner listed property and there is no brokerage involved. It is on floor 2 out of 3 floors. This Apartment is available at a reasonable price of Rs 1.15 Cr. Th...",1.0,19.0956644,72.9164338,https://images.unsplash.com/photo-1628745423010-bfb4df95f3eb?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NzR8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
Udyan,"2 BHK Flat for sale in Ghatkopar West, Mumbai",,Mumbai,1.85 Cr,"Ghatkopar West, Mumbai",1000,18500,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Mumbai's top location, Ghatkopar West. It is situated on floor 2. The total number of floors in this Apartment is 3. The property price of this unit is Rs 1.85 Cr. Monthly maintenance costs Rs 3500. The carpet area of this unit is 730 Square feet. The built-up area is 1000 Square feet. There are 2 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to All India Education Society High Sch...",2.0,19.0897194,72.9045972,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyiVZsxHWJgiUG5BXh2ehDmMTVjP-AtqC4ig&s
Chheda Complex,"2 BHK Flat for sale in Kandivali West, Mumbai",,Mumbai,1.35 Cr,"Charkop Gaon, Kandivali West,Mumbai",770,17530,"2 BHK Apartment for sale in Kandivali West, Mumbai. This 2 BHK unit is available in Kandivali West and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Kandivali West. It is on floor 1. The total number of floors is 7. The price of this Apartment is Rs 1.35 Cr. Residents in this project also pay monthly maintenance charges of Rs 2500. It is a good, spacious Apartment unit with carpet area of 625 Square feet. The built-up area is 770 Square feet. There are 2 ...",2.0,19.2088108,72.8259174,https://images.unsplash.com/photo-1722421492323-eaf9c401befe?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTM5fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
Janardhan Apartment ,"3 BHK Flat for sale in Andheri West, Mumbai",,Mumbai,3.9 Cr,"Azad Nagar, Andheri West,Mumbai",1650,23640,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Mumbai's top location, Andheri West. It is situated on floor 8. The total number of floors in this Apartment is 10. The property price of this unit is Rs 3.9 Cr. Monthly maintenance costs Rs 6000. The built-up area is 1225 Square feet. There are 3 bedrooms and 3 bathroom. It is an ideal location for young families with kids, as this property is close to German Spanish French Korean Classes in Mumbai | Cambridge Institute | Foreign Language...",3.0,19.1269102,72.8376484,https://images.pexels.com/photos/1031593/pexels-photo-1031593.jpeg?auto=compress&cs=tinysrgb&w=800
Sai Swapn Bhamini sankul,"1 BHK Flat for sale in Naigaon East, Mumbai",,Mumbai,32.5 L,"Naigaon East, Mumbai",560,5800,"1 BHK Apartment for sale in Naigaon East, Mumbai. This 1 BHK unit is available in Naigaon East and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Naigaon East. It is on floor 11. The total number of floors is 12. The price of this Apartment is Rs 32.5 L. The built-up area is 560 Square feet. There are 1 bedroom and 1 bathroom. This property is at a walking distance from Ishaan Chemist, Swasth diagnostic center, and Siddharth Hospital. The city's best schoo...",1.0,19.0137554,72.8462943,https://images.unsplash.com/photo-1628744448839-a475cc0e90c3?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MzF8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
Divya Stuti CHS,"2 BHK Flat for sale in Goregaon East, Mumbai",,Mumbai,1.12 Cr,"Gokuldham, Goregaon East,Mumbai",845,13250,"One of the finest property in Goregaon East is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 2. It is a 7 storeyed building. The price of this Apartment is Rs 1.12 Cr. Other charges when you move into this property include maintenance, which is Rs 4000. This Apartment is spacious with a built-up area of 845 Square feet. The carpet area is 614 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Childrens Academy Group Of Schools, Podar Jumbo Kids...",2.0,19.1755909,72.8676526,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSw2iXIZVFA_AzYlVlNBeexN_3Vow31IMrX0ZBHrKYQhbIHR7ENHozv66w&s
Aditya Purnima Pride,"1 BHK Flat for sale in Vikhroli East, Mumbai",,Mumbai,1.35 Cr,"Vikhroli East, Mumbai",530,25470,"Looking for a 1 BHK Apartment for sale in Mumbai? Your search ends here. Buy this 1 BHK property in Mumbai's finest location, Vikhroli East. This is an owner listed property and there is no brokerage involved. It is on floor 18 out of 22 floors. This Apartment is available at a reasonable price of Rs 1.35 Cr. Maintenance charges in this property is Rs 0. The built up area of this property is 530 Square feet. There are a number of reputed schools in the vicinity such as Kangaroo Kids Playschool & Nursery, Joymax English High School, and Mojis Foot Waer. Medical facility is also close at hand wi...",1.0,19.1172592,72.9355194,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5XKuF2kHCEDX4hbLtLhV6ETkyjvZNmck23N3EgF9jeaVt7ZKga9lRXYo&s
Luv Kush Tower,"1 BHK Flat for sale in Chembur, Mumbai",,Mumbai,1.25 Cr,"Sindhi Society, Chembur,Mumbai",594,21040,"Property for sale in Chembur, Mumbai. This 1 BHK Apartment is located in Mumbai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 3. The total number of floors in this building is 17. Homebuyers will also need to pay Rs 4100 towards maintenance. The built-up area is 594 Square feet. The property has 1 bedroom and 1 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Zen Multi Speciality Hospital in Mumbai, Surana Sethia Hospital, and Apollo Spectra Hospital. Schools like Ryan I...",1.0,19.0436276,72.8928763,https://images.unsplash.com/photo-1628745423010-bfb4df95f3eb?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NzR8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
Vencel Enclave,"1 BHK Flat for sale in Naigaon East, Mumbai",,Mumbai,32.0 L,"Naigaon East, Mumbai",610,5250,"1 BHK Apartment for sale in Mumbai. This property is in Naigaon East, which is a coveted investment location. This tastefully designed 1 BHK unit is among Mumbai's best properties. No brokerage to be paid for this property. This 1 BHK property is posted directly by Owner. Contact now for more details. This property in Mumbai is on floor 3. The total number of floors in this Apartment is 4. The price of the Apartment is Rs 32.0 L. Monthly maintenance charges come to Rs 900. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 610 Square feet. I...",1.0,19.0137554,72.8462943,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTELc7ZeW8q44QOefKeOAxvtiIAiTcfN7JMcnaM9J_Ar98ZnM_eLC1Mfy0&s
Ocean View Apartment,"2.5 BHK Flat for sale in Worli, Mumbai",,Mumbai,6.0 Cr,"Upper Worli, Worli,Mumbai",980,61220,"A 2.5 BHK Apartment for sale in Worli, Mumbai. Posted by Owner, No brokerage involved. This beautifully designed 2.5 BHK unit with all the modern-day comforts is one of Worli's most desired properties. Contact now for more information. This 2.5 BHK unit is on floor 2. There are 5 floors in this property. The price of this Apartment is Rs 6.0 Cr. Maintenance charges come to Rs 0. Each unit has a built-up area of 980 Square feet. There are 3 bedrooms. This residential property is near EuroKids, KASTURBA GANDHI MUNICIPAL SCHOOL, and South Mumbai Chess Academy (SMCA). It is also close to Global Ho...",5.0,19.0074111,72.816224,https://images.unsplash.com/photo-1621070659899-40b6b6f6731d?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU1fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
HDIL Dheeraj Diamond,"2 BHK Flat for sale in Malad West, Mumbai",,Mumbai,1.6 Cr,"Chincholi Bunder, Malad West,Mumbai",950,16840,"2 BHK Apartment for sale in Mumbai. This property is in Malad West, which is a coveted investment location. This tastefully designed 2 BHK unit is among Mumbai's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Mumbai is on floor 4. The total number of floors in this Apartment is 7. The price of the Apartment is Rs 1.75 Cr. Monthly maintenance charges come to Rs 4116. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 950 Square feet. T...",2.0,19.1792577,72.8357245,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMYopneXydH1Tj-HVI4vtdHy-PKAw_HOIggg&s
