PROP_NAME,PROP_HEADING,AGE,CITY,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATIUTUDE,LONGITUDE,url
Karwa Prem Swaroop,"3 BHK Flat for sale in Goregaon West, Mumbai",,Mumbai,3.25 Cr,"Shri Nagar, Goregaon West,Mumbai",1350,24070,"3 BHK Apartment for sale in Mumbai. This property is in Goregaon West, which is a coveted investment location. This tastefully designed 3 BHK unit is among Mumbai's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Mumbai is on floor 5. The total number of floors in this Apartment is 8. The price of the Apartment is Rs 3.25 Cr. Monthly maintenance charges come to Rs 6000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1350 Square fee...",3.0,19.1622456,72.8440631,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSt2I4DhRjodbgoIeEU-68uTRJTwLA-dQ70NQ&s
Sai Shradha,"1 BHK Flat for sale in Dahisar East, Mumbai",,Mumbai,80.0 L,"Ghartan Pada, Dahisar East,Mumbai",370,21620,"A 1 BHK Apartment for sale in Dahisar East, Mumbai. Posted by Owner, No brokerage involved. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Dahisar East's most desired properties. Contact now for more information. This 1 BHK unit is on floor 1. There are 7 floors in this property. The price of this Apartment is Rs 80.0 L. Each unit has a built-up area of 370 Square feet. There are 1 bedroom. This residential property is near Narayana E Techno School, Madarsa Talimul Quran, and Accent Foreign Language Institute. It is also close to Bhaktivedanta Hospital & Resear...",1.0,19.2519433,72.8675191,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAhg-W0IxHITmdC2xzhMp6-Ra3Jrcy8ALluQ&s
Pankaj Mansion,"1 BHK Flat for sale in Worli, Mumbai",,Mumbai,2.1 Cr,"Worli, Mumbai",410,51220,"Building is on the main road. There is no lift. Jain temple in the building. Gated security. Apartment newly renovated so also building exterior  More About This Property One of the finest property in Worli is now available for sale. This is a 1 BHK Apartment posted directly by owner. Make it yours now. It is on floor 4. It is a 4 storeyed building. The price of this Apartment is Rs 2.1 Cr. Other charges when you move into this property include maintenance, which is Rs 150. This Apartment is spacious with a built-up area of 410 Square feet. The carpet area is 400 Square feet. It is a North-Wes...",1.0,19.0116962,72.8180702,https://images.unsplash.com/photo-1598928506311-c55ded91a20c?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Nnx8bGl2aW5nJTIwcm9vbXxlbnwwfHwwfHx8MA%3D%3D
Omkar Meridia,"3 BHK Flat for sale in Kurla West, Mumbai",,Mumbai,4.5 Cr,"Brahmanwadi, Kurla West,Mumbai",1700,26470,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Mumbai's top location, Kurla West. It is situated on floor 6. The total number of floors in this Apartment is 14. The property price of this unit is Rs 4.5 Cr. Monthly maintenance costs Rs 0. The built-up area is 1700 Square feet. It is an ideal location for young families with kids, as this property is close to St. Joseph High School, Shemrock Primary Kurla, and Holy Cross High School. Healthcare facility is also close at hand with Surana...",3.0,19.0673,72.8802,https://images.pexels.com/photos/271624/pexels-photo-271624.jpeg?auto=compress&cs=tinysrgb&w=800
"Anand Nagar, Dahisar East,Mumbai","1 BHK Flat for sale in Dahisar East, Mumbai",,Mumbai,75.0 L,"Anand Nagar, Dahisar East,Mumbai",500,15000,"1 BHK Apartment for sale in Dahisar East, Mumbai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Dahisar East which is a promising investment destination in Mumbai. This might be your chance to grab the best 1 BHK property for sale in Dahisar East. The property is on floor 2 and the total number of floors is 7. This 1 BHK Apartment is available at a reasonable price of Rs 75.0 L. Residents also need to pay maintenance charges of Rs 1400. It is a very spacious property, spread over 360 Square feet. The built-up area is 500...",1.0,19.2572425,72.8659898,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaYVpaZGn8odKSp7EX8d9Tb-vMbb5lkKp5AA&s
"Indira Nagar, Chembur,Mumbai","3 BHK Flat for sale in Chembur, Mumbai",,Mumbai,4.4 Cr,"Indira Nagar, Chembur,Mumbai",1800,24440,"3 BHK Apartment for sale in Mumbai. This property is in Chembur, which is a coveted investment location. This tastefully designed 3 BHK unit is among Mumbai's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Mumbai is on floor 10. The total number of floors in this Apartment is 10. Monthly maintenance charges come to Rs 10000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1800 Square feet. The carpet area is 1200 Square feet. It ha...",3.0,19.0468127,72.8960437,https://images.pexels.com/photos/439391/pexels-photo-439391.jpeg?auto=compress&cs=tinysrgb&w=1200
"Oscar ,Azad Nagar, Andheri West,Mumbai","2 BHK Flat for sale in Andheri West, Mumbai",,Mumbai,2.0 Cr,"Oscar ,Azad Nagar, Andheri West,Mumbai",549,36430,"Looking for a 2 BHK Apartment for sale in Mumbai? Your search ends here. Buy this 2 BHK property in Mumbai's finest location, Andheri West. This is an owner listed property and there is no brokerage involved. It is on floor 2 out of 5 floors. This Apartment is available at a reasonable price of Rs 2.0 Cr. Maintenance charges in this property is Rs 0. The built up area of this property is 549 Square feet. There are a number of reputed schools in the vicinity such as German Spanish French Korean Classes in Mumbai | Cambridge Institute | Foreign Language Institute in Mumbai, Benchmarx Academy, an...",2.0,19.1295987,72.8399672,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzqD9EMkCUhuh4dqPwCOEw_l9Q1OWipGpv2A&s
Luxury Anuradha Tower,"2 BHK Flat for sale in Sion, Mumbai",,Mumbai,1.95 Cr,"Sion East, Sion,Mumbai",987,19760,"Looking for a good 2 BHK Apartment in Sion, Mumbai? This property is in one of Mumbai's most popular locations. This is a no brokerage property. The property is on floor 7. Total number of floors is 8. Maintenance charges of this property is Rs 0. This Apartment is available for Rs 1.95 Cr. This modern unit has a built-up area of 987 Square feet. It is very close to some of city's best hospitals, such as, Asian Heart Institute, Surana Sethia Hospital, and Zen Multi Speciality Hospital in Mumbai. Established schools, such as Ryan International School, Chembur, Shri Gauridutt Mittal Vidyalaya & ...",2.0,19.0276956,72.8913576,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQT9kgO1jNRbDZusATwtcUqCH45USzCvxFz2g&s
Amarnath Towers,"3 BHK Flat for sale in Andheri West, Mumbai",,Mumbai,6.5 Cr,"Versova, Andheri West,Mumbai",1750,37140,"3 BHK Apartment for sale in Mumbai. This property is in Andheri West, which is a coveted investment location. This tastefully designed 3 BHK unit is among Mumbai's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Mumbai is on floor 4. The total number of floors in this Apartment is 20. The price of the Apartment is Rs 6.5 Cr. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1750 Square feet. The carpet area is 1400 Square feet. It has...",3.0,19.130252,72.8213775,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTO5l08yRo40xUqUUbZgrXg8wC8QSgpZ5atYg&s
Swagat Builders Damodar Park Apartment,"2 BHK Flat for sale in Ghatkopar West, Mumbai",,Mumbai,1.1 Cr,"Damodar Park, Ghatkopar West,Mumbai",812,13550,"2 BHK Apartment for sale in Ghatkopar West, Mumbai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Ghatkopar West which is a promising investment destination in Mumbai. This might be your chance to grab the best 2 BHK property for sale in Ghatkopar West. The property is on floor 9 and the total number of floors is 13. This 2 BHK Apartment is available at a reasonable price of Rs 1.1 Cr. Residents also need to pay maintenance charges of Rs 3500. It is a very spacious property, spread over 650 Square feet. The built-up area...",2.0,19.0956644,72.9164338,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnROB3ZtRtJm_4XVzKMFoLov6SBm0cqx785Q&s
 Ambrosia Apartment,"3 BHK Flat for sale in Borivali East, Mumbai",,Mumbai,3.0 Cr,"Kulupwadi, Borivali East,Mumbai",1550,19350,"One of the finest property in Borivali East is now available for sale. This is a 3 BHK Apartment posted directly by owner. Make it yours now. It is on floor 28. It is a 28 storeyed building. The price of this Apartment is Rs 3.0 Cr. Other charges when you move into this property include maintenance, which is Rs 7000. This Apartment is spacious with a built-up area of 1550 Square feet. The carpet area is 1100 Square feet. There are 3 bedrooms and 3 bathroom. This property ensures you are a quick distance away from the city's best schools such as Childrens Academy Group Of Schools, Narayana E Te...",3.0,19.230606,72.8633841,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSAocrl9gU05bXdZ8SHdVl63XZqJJLIlHCien30uNsL4HZvjRt8UGJUyg&s
