PROP_NAME,CITY,PROP_HEADING,AGE,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATITUDE,LONGITUDE,url
"Kasavanahalli, Bangalore",Bangalore,"2 BHK Flat for sale in Kasavanahalli, Bangalore",,77.0 L,"Kasavanahalli, Bangalore",1229,6260,"
Book your dream flat today!! Stay tomorrow.
Price is starting from 74 lakh onwards.
15+ amenities are available with gated community.
Well connected to Outer ring road, Electronic city and Whitefield etc.
BDA and RERA approved project.
Few flats are left, so come and book flat for the best deal.
 More About This Property One of the finest property in Kasavanahalli is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 4 storeyed building. The price of this Apartment is Rs 77.0 L. Other charges when you move into this propert...",2.0,13.2414761,77.5675665,https://plus.unsplash.com/premium_photo-1661964475795-f0cb85767a88?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NjF8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
Abhee Nandika,Bangalore,"2 BHK Flat for sale in Chandapura, Bangalore",,35.0 L,"Chandapura, Bangalore",800,4380,"Property for sale in Iggalur, Bengaluru. This 2 BHK Apartment is located in Bengaluru's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 4. This Apartment's price is Rs 35.0 L. This Apartment is a spacious unit, with carpet area of 585 Square feet and is ideal for families. The built-up area is 800 Square feet. The property has 2 bedrooms and 2 bathroom. This unit enjoys a good view and is a East facing property. This Apartment is strategically located within close distance of famous h...",2.0,12.8009043,77.7114908,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNKpNBASdiLZdhZBo7TnqnUHUXaIm6xFNTkwaZZVGwMXfDdsZbQX9XxgQ&s
DSMAX SKYSCAPE by DS-MAX Properties Private Limited,Bangalore,"3 BHK Flat for sale in Anagalapura, Bangalore",,90.0 L,"Anagalapura, Bangalore",1866,4820,"3 BHK Apartment for sale in Bengaluru. This property is in Rampura, which is a coveted investment location. This tastefully designed 3 BHK unit is among Bengaluru's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Bengaluru is on floor 9. The total number of floors in this Apartment is 10. The price of the Apartment is Rs 90.0 L. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1866 Square feet. Some of the very well-known and reputed...",3.0,13.067107,77.6840813,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1aGsF7DBNe9YwgWX48m7HmGLG2aRBxTMf8SD4P6qvyPqG0Z9vXxAaRZk&s
Aafia Abode,Bangalore,"2 BHK Flat for sale in HBR Layout, Bangalore",,82.0 L,"Stage 1, HBR Layout,Bangalore",1100,7450,"2 BHK Apartment for sale in Bengaluru. This property is in HBR Layout, which is a coveted investment location. This tastefully designed 2 BHK unit is among Bengaluru's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Bengaluru is on floor 1. The total number of floors in this Apartment is 5. Monthly maintenance charges come to Rs 0. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1100 Square feet. The carpet area is 1000 Square feet....",2.0,13.031992,77.6280789,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPtwY0x1PX5eV7A11pV65nErLDshby19ZlnA&s
SJR Parkway Homes,Bangalore,"3 BHK Flat for sale in Rayasandra, Bangalore",,84.5 L,"Rayasandra, Bangalore",1451,5820,"Looking for a good 3 BHK Apartment in Rayasandra, Bengaluru? This property is in one of Bengaluru's most popular locations. This is a no brokerage property. The property is on floor 6. Total number of floors is 15. Maintenance charges of this property is Rs 3800. This Apartment is available for Rs 84.5 L. This modern unit has a built-up area of 1451 Square feet. There are 3 bedrooms and 3 bathroom. It is very close to some of city's best hospitals, such as, Springleaf Hospital, Ramakrishna Smart Hospitals, and AYUR PRASANNA Ayurvedic Clinic & Panchakarma Therapy Center. Established schools, su...",3.0,12.8765714,77.6821123,https://images.pexels.com/photos/271624/pexels-photo-271624.jpeg?auto=compress&cs=tinysrgb&w=800
Maangalya Prosper Phase 1 by Maangalya Reality,Bangalore,"2 BHK Flat for sale in Anjanapura Township, Bangalore",,65.0 L,"Anjanapura Township, Bangalore",1404,4630,"Check out this 2 BHK Apartment for sale in Anjanapura, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Anjanapura is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 12. The total number of floors in this project is 12. The property's price is Rs 65.0 L. This property is a modern-day abode, with 1404 Square feet built-up area. Educational institutions are closeby with schools such as Florence P...",2.0,12.8615644,77.5296769,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NHx8bW9kZXJuJTIwaG91c2V8ZW58MHx8MHx8fDA%3D
Nandika,Bangalore,"2 BHK Flat for sale in Chandapura, Bangalore",,37.0 L,"Chandapura, Bangalore",858,4310,"A 2 BHK Apartment for sale in Iggalur, Bengaluru. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Iggalur's most desired properties. Contact now for more information. This 2 BHK unit is on floor 1. There are 4 floors in this property. The price of this Apartment is Rs 37.0 L. Each unit has a built-up area of 858 Square feet. The carpet area is 626 Square feet. This East-facing property has an excellent view. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near Government School Iggalur...",2.0,12.8009043,77.7114908,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSt2I4DhRjodbgoIeEU-68uTRJTwLA-dQ70NQ&s
Sai Purvi Symphony,Bangalore,"2 BHK Flat for sale in Gunjur Palya, Bangalore",,71.0 L,"Gunjur Palya, Bangalore",1215,5840,"Looking for a 2 BHK Apartment for sale in Bengaluru? Your search ends here. Buy this 2 BHK property in Bengaluru's finest location, Gunjur Palya. This is an owner listed property and there is no brokerage involved. It is on floor 14 out of 23 floors. This Apartment is available at a reasonable price of Rs 71.0 L. Maintenance charges in this property is Rs 4000. The built up area of this property is 1215 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as Gunjur Palya Govt School, Government Higher Primary School Gunjurpalya, and Krupa...",2.0,12.9228378,77.7188315,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fGhvdXNlfGVufDB8fDB8fHww
Nandika,Bangalore,"2 BHK Flat for sale in Chandapura, Bangalore",,35.0 L,"Chandapura, Bangalore",800,4380,"2 BHK Apartment for sale in Iggalur, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Iggalur which is a promising investment destination in Bengaluru. This might be your chance to grab the best 2 BHK property for sale in Iggalur. The property is on floor 1 and the total number of floors is 4. This 2 BHK Apartment is available at a reasonable price of Rs 35.0 L. It is a very spacious property, spread over 585 Square feet. The built-up area is 800 Square feet. This property has provision for 2 bathroom. This prope...",2.0,12.8009043,77.7114908,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMYopneXydH1Tj-HVI4vtdHy-PKAw_HOIggg&s
The Commune,Bangalore,"2 BHK Flat for sale in Marsur, Bangalore",,45.0 L,"Marsur, Bangalore",1050,4290,"2 BHK Apartment for sale in Bengaluru. This property is in Marsur, which is a coveted investment location. This tastefully designed 2 BHK unit is among Bengaluru's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Bengaluru is on floor 11. The total number of floors in this Apartment is 13. The price of the Apartment is Rs 45.0 L. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1050 Square feet. The carpet area is 950 Square feet. Thi...",2.0,12.7678915,77.7043732,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStjQam3Vm0lIzzory2JNyY0lUrja0HcP_e9w&s
