PROP_NAME,PROP_HEADING,AGE,CITY,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATITUDE,LONGITUDE,url
CGHS Agroha Kunj Apartments,"4 BHK Flat for sale in Sector 13 Rohini, New Delhi",,New Delhi,2.2 Cr,"Sector 13 Rohini, New Delhi",1700,12940,"Check out this 4 BHK Apartment for sale in Rohini, Delhi. This property is posted by owner and thus there is no need to pay any broker amount. This 4 BHK Apartment is perfect for a modern-day lifestyle. Rohini is a promising location in Delhi and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 3. The property's price is Rs 2.2 Cr. Residents in this property pay Rs 1200 towards maintenance. This property is a modern-day abode, with 1700 Square feet built-up area. The carpet-area is 1450 Sq...",4.0,28.713012,77.1264429,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZz_6-2IasnsMuCQK8DJpyBXRyt9JlDNid5w&s
"Sector 20 Rohini, New Delhi","2 BHK Flat for sale in Sector 20 Rohini, New Delhi",,New Delhi,41.5 L,"Sector 20 Rohini, New Delhi",589,7040,"2 BHK Apartment for sale in Rohini, Delhi with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Rohini which is a promising investment destination in Delhi. This might be your chance to grab the best 2 BHK property for sale in Rohini. The property is on floor 3 and the total number of floors is 3. This 2 BHK Apartment is available at a reasonable price of Rs 41.5 L. The built-up area is 589 Square feet. This property has provision for 2 bathroom. It enjoys a strategic location with many reputed and multispeciality hospitals nea...",2.0,28.713012,77.1264429,https://images.pexels.com/photos/439391/pexels-photo-439391.jpeg?auto=compress&cs=tinysrgb&w=1200
"Sector 25 Rohini, New Delhi","2 BHK Flat for sale in Sector 25 Rohini, New Delhi",,New Delhi,1.1 Cr,"Sector 25 Rohini, New Delhi",950,11580,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Delhi's top location, Rohini. It is situated on floor 3. The total number of floors in this Apartment is 4. The property price of this unit is Rs 1.1 Cr. Monthly maintenance costs Rs 0. The built-up area is 950 Square feet. It is an ideal location for young families with kids, as this property is close to Disha Enterprises, LET'S LEARN & PLAY PLAYSCHOOL, ROHINI SECTOR 1, NEW DELHI, and Rathi Public School. Healthcare facility is also close...",2.0,28.713012,77.1264429,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fGhvdXNlfGVufDB8fDB8fHww
Baba Banda Bahadur Apartment,"2 BHK Flat for sale in Sector 14 Rohini, New Delhi",,New Delhi,1.1 Cr,"Sector 14 Rohini, New Delhi",900,12220,"A 2 BHK Apartment for sale in Sector 14 Rohini, Delhi. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Sector 14 Rohini's most desired properties. Contact now for more information. This 2 BHK unit is on floor 3. There are 3 floors in this property. The price of this Apartment is Rs 1.1 Cr. Maintenance charges come to Rs 0. Each unit has a built-up area of 900 Square feet. There are 2 bedrooms. This residential property is near Vspk International School, Remal Public School, and Adarsh Public School. It is also close to Max...",2.0,28.713012,77.1264429,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUJ-ufHOCoOF5cpUEU0FRDDDYVt9kDHKN4S3GYCG116-SVp1fAf-kygOU&s
Sweet Home Apartments,"3 BHK Flat for sale in Sector 14 Rohini, New Delhi",,New Delhi,1.7 Cr,"Sector 14 Rohini, New Delhi",1200,14170,"Check out this 3 BHK Apartment for sale in Rohini, Delhi. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Rohini is a promising location in Delhi and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 3. The property's price is Rs 1.7 Cr. Residents in this property pay Rs 2000 towards maintenance. This property is a modern-day abode, with 1200 Square feet built-up area. The carpet-area is 1100 Sq...",3.0,28.713012,77.1264429,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMYopneXydH1Tj-HVI4vtdHy-PKAw_HOIggg&s
Sangam Apartments,"2 BHK Flat for sale in Sector 25 Rohini, New Delhi",,New Delhi,95.0 L,"Sector 25 Rohini, New Delhi",900,10550,"Property for sale in Rohini, Delhi. This 2 BHK Apartment is located in Delhi's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 0. The total number of floors in this building is 4. This Apartment's price is Rs 95.0 L. Homebuyers will also need to pay Rs 0 towards maintenance. The built-up area is 900 Square feet. This Apartment is strategically located within close distance of famous healthcare centres such as ADARSH HOSPITAL, Maternity n Child Health Care Centre, Shrivastava Nursing Home, and सार्थक हॉस्पिटल & डाईग्नोस्टिक. Schools l...",2.0,28.713012,77.1264429,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmVs6XebhjPJFMe4Msluqr4TKh5hVz9J7FeA&s
Classic Apartment,"4 BHK Flat for sale in Sector 12 Dwarka, New Delhi",,New Delhi,2.5 Cr,"Sector 12 Dwarka, New Delhi",2100,11900,"4 BHK Apartment for sale in Sector 12, Dwarka, Delhi with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Sector 12, Dwarka which is a promising investment destination in Delhi. This might be your chance to grab the best 4 BHK property for sale in Sector 12, Dwarka. The property is on floor 7 and the total number of floors is 10. This 4 BHK Apartment is available at a reasonable price of Rs 2.5 Cr. It is a very spacious property, spread over 1900 Square feet. The built-up area is 2100 Square feet. This property has provision f...",4.0,28.5974584,77.0423682,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8gUmK06a7D4CltqnIhXcRZS6bVn6ercPGJg&s
Classic Apartment,"2 BHK Flat for sale in Sector 12 Dwarka, New Delhi",,New Delhi,1.4 Cr,"Sector 12 Dwarka, New Delhi",1420,9860,"Check out this 2 BHK Apartment for sale in Sector 12, Dwarka, Delhi. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Sector 12, Dwarka is a promising location in Delhi and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 6. The total number of floors in this project is 10. The property's price is Rs 1.4 Cr. This property is a modern-day abode, with 1420 Square feet built-up area. The carpet-area is 1220 Square feet. It is a North-East-facing ...",2.0,28.5974584,77.0423682,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NHx8bW9kZXJuJTIwaG91c2V8ZW58MHx8MHx8fDA%3D
Classic Apartment,"3 BHK Flat for sale in Sector 12 Dwarka, New Delhi",,New Delhi,2.1 Cr,"Sector 12 Dwarka, New Delhi",1853,11330,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Delhi's top location, Sector 12, Dwarka. It is situated on floor 2. The total number of floors in this Apartment is 10. The property price of this unit is Rs 2.1 Cr. The carpet area of this unit is 1800 Square feet. The built-up area is 1853 Square feet. There are 3 bedrooms and 3 bathroom. This property enjoys a good view and is North-East-facing. It is an ideal location for young families with kids, as this property is close to Sri Venka...",3.0,28.5974584,77.0423682,https://images.pexels.com/photos/439391/pexels-photo-439391.jpeg?auto=compress&cs=tinysrgb&w=1200
DDA Janta Flats,"1 BHK Flat for sale in Sector 17 Rohini, New Delhi",,New Delhi,24.0 L,"Sector 17 Rohini, New Delhi",300,8000,"Best 1 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 1 BHK property for sale in one of Delhi's top location, Rohini. It is situated on floor 0. The total number of floors in this Apartment is 4. The property price of this unit is Rs 24.0 L. Monthly maintenance costs Rs 10. The carpet area of this unit is 250 Square feet. The built-up area is 300 Square feet. There are 1 bedroom and 1 bathroom. It is an ideal location for young families with kids, as this property is close to Titiksha Public School, St. Angel's Sr. Sec. Schoo...",1.0,28.713012,77.1264429,https://media.istockphoto.com/id/1293762741/photo/modern-living-room-interior-3d-render.webp?a=1&b=1&s=612x612&w=0&k=20&c=Nk1uLgimD0AG9ADjHPx1iLvhZnm28YW6VRZr7uGwvS0=
